,PE_TTM,DIVIDENDYIELD2,CLOSE
2006-09-11,9.403800010681152,3.2906,2231.2
2006-09-12,9.344300270080566,3.3111,2217.43
2006-09-13,9.336299896240234,3.3145,2215.08
2006-09-14,9.335800170898438,3.2895,2209.99
2006-09-15,9.30049991607666,3.3016,2201.85
2006-09-18,9.353899955749512,3.2243,2210.73
2006-09-19,9.374300003051758,3.2179,2215.19
2006-09-20,9.950400352478027,3.2245,2210.6
2006-09-21,10.005800247192385,3.1133,2222.84
2006-09-22,9.989299774169922,3.0879,2219.25
2006-09-25,9.961799621582031,3.0455,2213.92
2006-09-26,9.8326997756958,3.0843,2186.0
2006-09-27,9.893500328063965,3.0753,2199.36
2006-09-28,9.978799819946287,3.0495,2210.12
2006-09-29,10.059499740600586,3.0368,2227.76
2006-10-09,10.08139991760254,3.0983,2205.39
2006-10-10,10.01830005645752,4.0267,2191.82
2006-10-11,10.043299674987791,4.0173,2197.79
2006-10-12,10.115099906921388,4.0139,2212.39
2006-10-13,10.12950038909912,4.0014,2215.61
2006-10-16,10.118800163269045,3.9962,2213.29
2006-10-17,10.074000358581545,4.0135,2203.74
2006-10-18,10.136799812316896,3.9797,2217.29
2006-10-19,10.1806001663208,3.9701,2226.93
2006-10-20,10.258399963378906,3.9458,2231.55
2006-10-23,10.259200096130373,3.9642,2231.51
2006-10-24,10.171600341796877,3.9974,2212.96
2006-10-25,10.17099952697754,3.9914,2212.64
2006-10-26,10.206899642944336,3.9777,2220.25
2006-10-27,10.12689971923828,4.0083,2203.17
2006-10-30,10.12689971923828,4.0083,2203.17
2006-10-31,10.164799690246582,3.9933,2211.49
2006-11-01,10.17360019683838,3.976,2213.35
2006-11-02,10.246000289916992,3.9483,2229.03
2006-11-03,10.317099571228027,3.9218,2244.64
2006-11-06,10.295700073242188,3.9294,2240.32
2006-11-07,10.304499626159668,3.9261,2242.15
2006-11-08,10.293399810791016,3.9306,2239.54
2006-11-09,10.347900390625,3.9169,2251.07
2006-11-10,10.409700393676758,3.8943,2264.19
2006-11-13,10.424599647521973,3.8559,2281.7
2006-11-14,10.48989963531494,3.8321,2295.84
2006-11-15,10.492600440979004,3.8312,2288.07
2006-11-16,10.539799690246582,3.8403,2282.64
2006-11-17,10.577699661254885,3.8258,2291.18
2006-11-20,10.508899688720703,3.8516,2275.8
2006-11-21,10.568400382995604,3.8305,2291.31
2006-11-22,10.678099632263184,3.7743,2326.12
2006-11-23,10.718799591064451,3.7593,2335.05
2006-11-24,10.75819969177246,3.7465,2343.06
2006-11-27,10.709699630737305,3.77,2328.9
2006-11-28,10.423199653625488,3.8715,2268.53
2006-11-29,10.574799537658691,3.8175,2300.04
2006-11-30,10.619400024414062,3.7992,2310.7
2006-12-01,10.650500297546388,3.7888,2316.63
2006-12-04,10.634200096130373,3.7763,2314.61
2006-12-05,10.709400177001951,3.749,2331.77
2006-12-06,10.770500183105469,3.7279,2344.22
2006-12-07,10.769100189208984,3.7266,2346.02
2006-12-08,10.761500358581545,3.7288,2344.91
2006-12-11,10.776599884033203,3.6947,2349.45
2006-12-12,10.717300415039062,3.7149,2336.1
2006-12-13,10.55109977722168,3.7274,2327.96
2006-12-14,10.596400260925291,3.9786,2337.74
2006-12-15,10.621899604797363,3.9663,2344.57
2006-12-18,10.570300102233888,3.9499,2334.06
2006-12-19,10.515399932861328,3.97,2322.91
2006-12-20,10.51010036468506,3.9796,2322.39
2006-12-21,10.417099952697754,4.0285,2303.35
2006-12-22,10.48840045928955,4.0018,2319.02
2006-12-25,10.48840045928955,3.993,2319.02
2006-12-26,10.48840045928955,3.993,2319.02
2006-12-27,10.446100234985352,4.0087,2321.82
2006-12-28,10.463899612426758,4.0176,2313.47
2006-12-29,10.668800354003906,3.9529,2338.1
2007-01-04,10.687399864196776,3.9332,2335.75
2007-01-05,10.63479995727539,3.9527,2324.35
2007-01-08,10.61050033569336,3.9194,2318.89
2007-01-09,10.648200035095217,3.9055,2327.14
2007-01-10,10.593999862670898,3.9399,2316.69
2007-01-11,10.669500350952148,3.912,2333.19
2007-01-12,10.8681001663208,3.855,2379.62
2007-01-15,11.191399574279783,3.7347,2451.17
2007-01-16,11.226400375366213,3.7231,2460.07
2007-01-17,11.178500175476074,3.739,2449.91
2007-01-18,11.219599723815918,3.7253,2458.51
2007-01-19,11.248700141906738,3.704,2462.94
2007-01-22,11.302200317382812,3.6864,2474.63
2007-01-23,11.54990005493164,3.6074,2527.86
2007-01-24,11.539299964904783,3.6107,2523.65
2007-01-25,11.335599899291992,3.6755,2477.91
2007-01-26,11.131999969482422,3.7428,2434.06
2007-01-29,11.235699653625488,3.7083,2456.6
2007-01-30,11.378000259399414,3.6619,2488.1
2007-01-31,11.315199851989746,3.6822,2473.99
2007-02-01,11.434599876403809,3.6438,2502.13
2007-02-02,11.493499755859377,3.6836,2515.99
2007-02-05,11.506400108337402,3.6016,2517.93
2007-02-06,11.545000076293944,3.5895,2522.56
2007-02-07,11.629199981689451,3.5635,2542.37
2007-02-08,11.61489963531494,3.5679,2536.54
2007-02-09,11.601200103759766,3.5721,2531.97
2007-02-12,11.726900100708008,3.5338,2521.09
2007-02-13,11.571000099182127,3.5815,2487.46
2007-02-14,11.596699714660645,3.5735,2493.06
2007-02-15,11.654899597167969,3.5557,2505.68
2007-02-16,11.657400131225586,3.5549,2506.4
2007-02-26,12.279899597167969,3.4759,2563.95
2007-02-27,12.103500366210938,3.5121,2537.55
2007-02-28,11.779899597167969,3.6086,2469.8
2007-03-01,11.741900444030762,3.6195,2462.29
2007-03-02,11.68120002746582,3.6383,2449.25
2007-03-05,11.118399620056152,3.8482,2315.46
2007-03-06,11.317899703979492,3.7573,2371.61
2007-03-07,11.348799705505373,3.7508,2376.07
2007-03-08,11.422900199890137,3.7265,2391.71
2007-03-09,11.438300132751465,3.7215,2395.1
2007-03-12,10.470399856567385,3.7202,2425.85
2007-03-13,10.49240016937256,3.7132,2430.44
2007-03-14,10.27649974822998,3.7915,2380.17
2007-03-15,10.247300148010254,3.7738,2391.36
2007-03-16,10.21679973602295,3.7852,2384.13
2007-03-19,10.25730037689209,3.7711,2392.97
2007-03-20,10.271200180053713,3.7453,2409.61
2007-03-21,10.327799797058104,3.7264,2421.73
2007-03-22,10.49240016937256,3.6872,2447.47
2007-03-23,10.62119960784912,3.6431,2477.11
2007-03-26,10.801600456237791,3.6065,2502.48
2007-03-27,10.755800247192385,3.6216,2492.07
2007-03-28,10.70680046081543,3.6473,2474.48
2007-03-29,11.647600173950195,3.7418,2478.0
2007-03-30,11.717700004577637,3.721,2491.83
2007-04-02,11.783699989318848,3.5742,2502.85
2007-04-03,11.876099586486816,3.5481,2521.3
2007-04-04,12.03909969329834,3.5368,2557.18
2007-04-05,12.03909969329834,3.5368,2557.18
2007-04-06,12.03909969329834,3.5368,2557.18
2007-04-09,12.03909969329834,3.5015,2557.18
2007-04-10,12.149299621582031,3.4709,2579.8
2007-04-11,15.952400207519531,3.4682,2581.84
2007-04-12,15.932000160217283,3.4789,2578.0
2007-04-13,15.899999618530272,3.4755,2576.77
2007-04-16,15.966899871826172,3.4449,2601.43
2007-04-17,15.913599967956545,3.6369,2591.27
2007-04-18,15.979999542236328,3.6229,2601.25
2007-04-19,15.915200233459473,3.6706,2567.38
2007-04-20,16.088199615478516,3.4238,2595.41
2007-04-23,16.156400680541992,3.3801,2605.8
2007-04-24,16.1781005859375,3.3761,2608.84
2007-04-25,16.206600189208984,3.3974,2613.14
2007-04-26,16.30069923400879,3.3778,2628.26
2007-04-27,16.236099243164062,3.4099,2617.43
2007-04-30,16.125499725341797,3.483,2599.69
2007-05-08,16.33060073852539,3.5078,2632.82
2007-05-09,16.40679931640625,3.527,2644.72
2007-05-10,16.576499938964844,3.4572,2671.44
2007-05-11,16.575899124145508,3.4573,2671.42
2007-05-14,16.721200942993164,3.3205,2696.92
2007-05-15,16.966699600219727,3.3229,2695.01
2007-05-16,17.005399703979492,3.3847,2700.02
2007-05-17,16.91860008239746,3.4559,2685.42
2007-05-18,16.86199951171875,3.4101,2676.45
2007-05-21,16.831300735473633,3.3418,2672.25
2007-05-22,16.911300659179688,3.3243,2686.36
2007-05-23,17.136699676513672,3.2808,2721.97
2007-05-24,17.136699676513672,3.2808,2721.97
2007-05-25,16.95199966430664,3.3588,2692.13
2007-05-28,17.050899505615234,3.3068,2708.38
2007-05-29,16.971799850463867,3.3212,2696.66
2007-05-30,16.862199783325195,3.3431,2678.91
2007-05-31,17.0408992767334,3.3095,2706.17
2007-06-01,17.26020050048828,3.2669,2741.37
2007-06-04,17.167400360107422,3.2818,2728.79
2007-06-05,17.223400115966797,3.3355,2737.01
2007-06-06,17.65719985961914,3.3748,2735.5
2007-06-07,17.56679916381836,3.3921,2721.45
2007-06-08,17.395299911499023,3.4246,2695.66
2007-06-11,17.533300399780273,3.4017,2716.78
2007-06-12,17.596099853515625,3.4033,2715.54
2007-06-13,17.52750015258789,3.4169,2704.76
2007-06-14,17.670000076293945,3.4492,2726.9
2007-06-15,17.648000717163086,3.4527,2724.22
2007-06-18,17.799100875854492,3.4278,2743.91
2007-06-19,17.799100875854492,3.4278,2743.91
2007-06-20,17.76460075378418,3.3912,2773.42
2007-06-21,17.85700035095215,3.3735,2788.09
2007-06-22,17.92919921875,3.3614,2798.1
2007-06-25,17.69339942932129,3.4073,2760.45
2007-06-26,17.620800018310547,3.4216,2748.94
2007-06-27,17.643199920654297,3.4176,2752.02
2007-06-28,17.537500381469727,3.3843,2778.98
2007-06-29,17.62820053100586,3.3401,2815.71
2007-07-02,17.72760009765625,3.3218,2815.71
2007-07-03,17.895000457763672,3.2922,2841.02
2007-07-04,17.988399505615234,3.2766,2854.49
2007-07-05,18.127700805664062,3.2644,2876.95
2007-07-06,18.312400817871097,3.2327,2905.11
2007-07-09,18.65679931640625,3.1732,2959.61
2007-07-10,18.78580093383789,3.148,2983.26
2007-07-11,18.59429931640625,3.181,2952.38
2007-07-12,18.72520065307617,3.1527,2978.91
2007-07-13,18.93939971923828,3.1148,3015.12
2007-07-16,18.930200576782227,3.0407,3027.26
2007-07-17,19.11429977416992,3.0113,3056.72
2007-07-18,18.941499710083008,3.0361,3031.77
2007-07-19,18.96590042114257,3.0072,3060.92
2007-07-20,19.21139907836914,2.9669,3102.4
2007-07-23,19.494600296020508,2.9207,3151.45
2007-07-24,19.547100067138672,3.0071,3158.58
2007-07-25,19.411300659179688,3.1982,3136.64
2007-07-26,19.145299911499023,3.2382,3097.97
2007-07-27,18.69820022583008,3.3168,3024.56
2007-07-30,18.885900497436523,3.2832,3055.47
2007-07-31,19.093000411987305,3.2428,3093.51
2007-08-01,18.62420082092285,3.3254,3016.65
2007-08-02,18.372299194335938,3.3729,2974.17
2007-08-03,18.406700134277344,3.2537,2979.99
2007-08-06,17.90719985961914,3.3461,2897.66
2007-08-07,17.03969955444336,3.3743,2893.11
2007-08-08,17.319900512695312,3.3008,2957.64
2007-08-09,17.40329933166504,3.3172,2977.67
2007-08-10,16.866199493408203,3.4154,2892.07
2007-08-13,16.790199279785156,3.383,2878.67
2007-08-14,16.518299102783203,3.3644,2894.59
2007-08-15,16.076499938964844,3.4893,2816.96
2007-08-16,15.2608003616333,3.7086,2689.38
2007-08-17,14.687399864196776,3.8858,2588.95
2007-08-20,15.26729965209961,3.8458,2695.33
2007-08-21,15.393799781799316,3.8209,2712.98
2007-08-22,15.590700149536133,3.7804,2758.77
2007-08-23,15.244600296020508,3.6744,2838.41
2007-08-24,15.210000038146973,3.6821,2832.46
2007-08-27,14.528499603271484,3.4314,2931.0
2007-08-28,14.36709976196289,3.4605,2906.27
2007-08-29,14.206100463867188,3.4833,2862.75
2007-08-30,14.35569953918457,3.4468,2893.2
2007-08-31,14.628199577331545,3.4456,2947.19
2007-09-03,14.960800170898438,3.3357,2993.59
2007-09-04,15.0201997756958,3.3229,3005.03
2007-09-05,14.252900123596191,3.2924,3032.88
2007-09-06,14.38700008392334,3.3245,3054.53
2007-09-07,14.56879997253418,3.3193,3093.66
2007-09-10,14.92020034790039,2.9531,3082.72
2007-09-11,14.892499923706056,2.9587,3076.96
2007-09-12,14.497300148010254,2.919,3107.97
2007-09-13,14.321399688720703,2.9134,3113.93
