,PE_TTM,DIVIDENDYIELD2,CLOSE
2024-09-13,5.883200168609619,7.579,3597.01
2024-09-18,6.001399993896484,7.3571,3671.3
2024-09-19,6.018499851226807,7.3272,3697.46
2024-09-20,6.082300186157227,7.3063,3731.95
2024-09-23,6.140999794006348,7.2672,3757.81
2024-09-24,6.389999866485596,7.0128,3889.67
2024-09-25,6.483399868011475,6.9589,3941.93
2024-09-26,6.508500099182129,6.9426,4011.56
2024-09-27,6.447700023651123,6.9969,4042.05
2024-09-30,6.455599784851074,6.9531,4129.35
2024-10-08,6.508900165557861,6.8362,4196.05
2024-10-09,6.346799850463867,7.0372,4070.26
2024-10-10,6.571700096130371,6.7762,4199.22
2024-10-11,6.568299770355225,6.7819,4195.97
2024-10-14,6.656499862670898,6.7136,4205.89
2024-10-15,6.51669979095459,6.8559,4094.17
2024-10-16,6.548299789428711,6.8044,4128.04
2024-10-17,6.473599910736084,6.8728,4079.68
2024-10-18,6.599899768829346,6.7458,4190.35
2024-10-21,6.505799770355225,6.8556,4138.78
2024-10-22,6.506899833679199,6.8361,4138.64
2024-10-23,6.537499904632568,6.7984,4159.37
2024-10-24,6.540200233459473,6.8362,4141.11
2024-10-25,6.495500087738037,6.9516,4119.09
2024-10-28,6.45419979095459,6.9183,4105.92
2024-10-29,6.432899951934815,6.9789,4075.58
2024-10-30,6.31850004196167,7.0551,4021.36
2024-10-31,6.199999809265137,7.0762,4019.29
2024-11-01,6.300300121307373,7.0025,4073.44
2024-11-04,6.291800022125244,7.0214,4087.91
2024-11-05,6.384799957275391,6.9463,4176.58
2024-11-06,6.268899917602539,7.0679,4110.12
2024-11-07,6.374000072479248,6.8975,4190.27
2024-11-08,6.317800045013428,6.9734,4146.79
2024-11-11,6.205699920654297,7.0603,4088.08
2024-11-12,6.096799850463867,7.1717,4009.3
2024-11-13,6.102700233459473,7.1488,4005.25
2024-11-14,6.035900115966797,7.241,3960.45
2024-11-15,6.072100162506104,7.1956,3961.19
2024-11-18,6.195799827575684,7.1496,4012.55
2024-11-19,6.188499927520752,7.1454,4014.34
2024-11-20,6.188700199127197,7.1494,4013.91
2024-11-21,6.1570000648498535,7.1086,3997.77
2024-11-22,6.0625,7.2061,3908.13
2024-11-25,6.065000057220459,7.2119,3894.31
2024-11-26,6.051599979400635,7.2217,3880.97
2024-11-27,6.110300064086914,7.1351,3938.74
2024-11-28,6.043399810791016,7.2163,3888.17
2024-11-29,6.059599876403809,7.2062,3906.38
2024-12-02,6.099400043487549,7.1739,3934.75
2024-12-03,6.204500198364258,7.0581,3998.76
2024-12-04,6.265999794006348,7.0122,4010.21
2024-12-05,6.232699871063232,7.0512,3991.11
2024-12-06,6.291500091552734,6.9916,4032.61
2024-12-09,6.408400058746338,6.8648,4126.65
2024-12-10,6.374199867248535,6.8879,4089.69
2024-12-11,6.352099895477295,6.9471,4058.17
2024-12-12,6.39900016784668,6.8854,4093.28
2024-12-13,6.314300060272217,6.9705,4022.92
2024-12-16,6.373899936676025,6.9216,4029.57
2024-12-17,6.366399765014648,6.9186,4007.38
2024-12-18,6.401500225067139,6.8766,4040.31
2024-12-19,6.373899936676025,6.902,4009.53
2024-12-20,6.340099811553955,6.9388,3987.72
2024-12-23,6.480599880218506,6.8114,4053.47
2024-12-24,6.581900119781494,6.7181,4116.14
2024-12-25,6.581999778747559,6.7165,4116.76
2024-12-26,6.580599784851074,6.7166,4114.23
2024-12-27,6.59149980545044,6.7162,4125.69
2024-12-30,6.605299949645996,6.705,4137.87
2024-12-31,6.645699977874756,6.6648,4144.4
2025-01-02,6.418900012969971,7.8386,4029.85
2025-01-03,6.4593000411987305,7.8188,4038.11
2025-01-06,6.467800140380859,7.8111,4048.74
2025-01-07,6.442599773406982,7.8417,4024.76
2025-01-08,6.451499938964844,7.8359,4019.12
2025-01-09,6.40339994430542,7.9078,4013.41
2025-01-10,6.358399868011475,7.9651,3969.19
2025-01-13,6.331999778747559,8.1594,3950.31
2025-01-14,6.378300189971924,8.0911,3989.12
2025-01-15,6.410099983215332,8.0496,4002.48
2025-01-16,6.469699859619141,8.0685,4030.04
2025-01-17,6.418099880218506,8.1214,4033.92
2025-01-20,6.436800003051758,8.0885,4064.04
2025-01-21,6.461299896240234,8.0867,4080.53
2025-01-22,6.397299766540527,8.1668,4041.69
2025-01-23,6.470300197601318,8.0963,4080.81
2025-01-24,6.532199859619141,8.0328,4111.23
2025-01-27,6.621699810028076,7.941,4155.91
2025-02-05,6.586299896240234,7.992,4125.35
2025-02-06,6.6296000480651855,7.9468,4167.25
2025-02-07,6.606500148773193,7.9616,4171.42
2025-02-10,6.662199974060059,7.8962,4181.95
2025-02-11,6.684599876403809,7.8811,4166.63
2025-02-12,6.807499885559082,7.7351,4255.37
2025-02-13,6.779399871826172,7.7642,4212.78
2025-02-14,6.870100021362305,7.6539,4277.77
2025-02-17,6.9257001876831055,7.5927,4339.26
2025-02-18,6.940499782562256,7.5709,4342.79
2025-02-19,6.8968000411987305,7.5824,4323.85
2025-02-20,6.8917999267578125,7.5936,4314.81
2025-02-21,6.963900089263916,7.4955,4370.4
2025-02-24,6.926700115203857,7.5457,4367.81
2025-02-25,6.843200206756592,7.6465,4301.47
2025-02-26,6.914400100708008,7.5969,4400.26
2025-02-27,6.907199859619141,7.6181,4390.98
2025-02-28,6.813799858093262,7.6999,4289.74
2025-03-03,6.847099781036377,7.6788,4316.43
2025-03-04,6.8246002197265625,7.678,4319.48
2025-03-05,6.96619987487793,7.5201,4408.46
2025-03-06,7.004199981689453,7.4702,4444.58
2025-03-07,7.011499881744385,7.4361,4440.19
