,PE_TTM,DIVIDENDYIELD2,CLOSE
2022-02-18,27.49570083618164,0.1633,8369.38
2022-02-21,27.49570083618164,0.1633,8369.38
2022-02-22,27.30739974975586,0.1701,8041.43
2022-02-23,26.80240058898925,0.174,7862.35
2022-02-24,35.24869918823242,0.1732,7982.92
2022-02-25,35.44129943847656,0.1615,8044.23
2022-02-28,35.10449981689453,0.1626,8058.63
2022-03-01,36.2406005859375,0.1617,8100.27
2022-03-02,35.652198791503906,0.1644,7988.66
2022-03-03,33.84489822387695,0.1723,7585.29
2022-03-04,32.356300354003906,0.1803,7172.19
2022-03-07,31.05299949645996,0.1878,6827.3
2022-03-08,30.85429954528809,0.1891,6822.65
2022-03-09,32.86690139770508,0.1791,7262.18
2022-03-10,35.81779861450195,0.232,6535.47
2022-03-11,32.66780090332031,0.2543,5870.07
2022-03-14,28.67350006103516,0.2794,5181.3
2022-03-15,29.63520050048828,0.2712,5439.11
2022-03-16,39.59299850463867,0.2024,7230.45
2022-03-17,37.77840042114258,0.2118,6898.88
2022-03-18,40.62979888916016,0.2047,7416.29
2022-03-21,36.71160125732422,0.2139,7095.05
2022-03-22,39.82040023803711,0.1975,7651.23
2022-03-23,40.78810119628906,0.2082,7747.18
2022-03-24,41.55500030517578,0.213,7617.96
2022-03-25,40.25529861450195,0.2203,7261.2
2022-03-28,40.91379928588867,0.2177,7389.19
2022-03-29,42.05910110473633,0.2134,7564.11
2022-03-30,41.42430114746094,0.2151,7471.43
2022-03-31,39.02629852294922,0.2262,7064.73
2022-04-01,40.45119857788086,0.2205,7397.08
2022-04-06,40.32529830932617,0.2245,7447.45
2022-04-07,38.79800033569336,0.3376,7115.8
2022-04-08,38.54499816894531,0.3398,7044.37
2022-04-11,38.11100006103516,0.345,6962.59
2022-04-12,37.5452995300293,0.3624,6874.89
2022-04-13,38.4995002746582,0.3443,7104.1
2022-04-14,37.17010116577149,0.3564,6881.66
2022-04-15,37.1968002319336,0.3564,6881.66
2022-04-18,36.725399017333984,0.3571,6743.43
2022-04-19,36.72740173339844,0.357,6811.51
2022-04-20,35.00299835205078,0.3746,6482.8
2022-04-21,32.68769836425781,0.3929,6147.63
2022-04-22,32.86360168457031,0.391,6178.3
2022-04-25,33.047401428222656,0.3888,6220.24
2022-04-26,32.5973014831543,0.3991,6030.54
2022-04-27,37.80630111694336,0.3801,6326.26
2022-04-28,38.48080062866211,0.3734,6419.08
2022-04-29,40.47320175170898,0.3543,6705.62
2022-05-05,39.42179870605469,0.3666,6468.82
2022-05-06,37.54940032958984,0.3849,6142.32
2022-05-09,34.9640007019043,0.4132,5664.03
2022-05-10,34.95199966430664,0.408,5767.22
2022-05-11,34.16640090942383,0.4182,5622.26
2022-05-12,34.18370056152344,0.418,5658.95
2022-05-13,36.725399017333984,0.3891,6098.8
