,PE_TTM,DIVIDENDYIELD2,CLOSE
2014-01-02,22.18400001525879,1.3862,3563.567
2014-01-03,22.026100158691406,1.3962,3538.731
2014-01-06,21.978099822998047,1.4001,3526.958
2014-01-07,22.10110092163086,1.3892,3557.854
2014-01-08,22.15839958190918,1.3869,3567.536
2014-01-09,22.062700271606445,1.3914,3552.575
2014-01-10,22.137300491333008,1.3868,3565.082
2014-01-13,21.805200576782227,1.4078,3512.797
2014-01-14,22.226600646972656,1.3813,3580.646
2014-01-15,22.39739990234375,1.3723,3609.84
2014-01-16,22.384599685668945,1.3719,3611.287
2014-01-17,22.2721004486084,1.3779,3591.246
2014-01-20,22.2721004486084,1.3779,3591.246
2014-01-21,22.39929962158203,1.3683,3617.703
2014-01-22,22.417299270629883,1.3646,3627.72
2014-01-23,22.292400360107425,1.3702,3613.755
2014-01-24,21.834199905395508,1.3986,3541.481
2014-01-27,21.60219955444336,1.4139,3509.02
2014-01-28,21.528499603271484,1.4142,3505.716
2014-01-29,21.21269989013672,1.4387,3467.819
2014-01-30,21.55940055847168,1.4114,3532.409
2014-02-07,21.858800888061523,1.4687,3561.907
2014-02-10,21.967100143432617,1.4013,3582.111
2014-02-11,22.25320053100586,1.3998,3621.719
2014-02-12,22.3218994140625,1.397,3627.358
2014-02-13,22.390399932861328,1.3848,3659.563
2014-02-14,22.409400939941406,1.3833,3663.878
2014-02-17,22.408899307250977,1.3777,3663.878
2014-02-18,22.508899688720703,1.4324,3679.428
2014-02-19,22.347900390625,1.4424,3652.845
2014-02-20,22.510400772094727,1.3889,3671.931
2014-02-21,22.43980026245117,1.3884,3662.604
2014-02-24,22.16909980773925,1.406,3685.814
2014-02-25,22.12800025939941,1.4098,3679.143
2014-02-26,22.104799270629883,1.4157,3676.601
2014-02-27,22.241600036621094,1.4053,3699.8
2014-02-28,22.285400390625,1.4012,3696.098
2014-03-03,22.10740089416504,1.4263,3668.368
2014-03-04,22.33370018005371,1.412,3719.927
2014-03-05,22.382699966430664,1.4107,3727.185
2014-03-06,22.88719940185547,1.414,3720.93
2014-03-07,22.76300048828125,1.4067,3703.404
2014-03-10,22.76420021057129,1.4108,3706.343
2014-03-11,22.65920066833496,1.417,3691.501
2014-03-12,22.75909996032715,1.416,3707.063
2014-03-13,22.41010093688965,1.4399,3651.494
2014-03-14,22.26210021972656,1.4443,3627.87
2014-03-17,22.4778995513916,1.434,3662.51
2014-03-18,22.74250030517578,1.419,3706.624
2014-03-19,22.59499931335449,1.4231,3682.735
2014-03-20,22.65390014648437,1.4191,3693.969
2014-03-21,22.40850067138672,1.4347,3653.069
2014-03-24,22.178199768066406,1.4476,3617.391
2014-03-25,22.131799697875977,1.443,3629.73
2014-03-26,21.835899353027344,1.4655,3582.889
2014-03-27,21.71249961853028,1.4689,3563.134
2014-03-28,21.76469993591309,1.4596,3571.485
2014-03-31,23.83340072631836,1.3424,3595.736
2014-04-01,24.24519920349121,1.3412,3658.396
2014-04-02,24.292499542236328,1.3283,3665.991
2014-04-03,22.14559936523437,1.4492,3637.577
2014-04-04,21.5442008972168,1.4891,3539.376
2014-04-08,21.54170036315918,1.47,3538.226
2014-04-09,21.94409942626953,1.4514,3600.438
2014-04-10,21.25670051574707,1.4979,3487.763
2014-04-11,21.00219917297364,1.515,3446.845
2014-04-14,21.180700302124023,1.5023,3474.633
2014-04-15,21.27720069885254,1.4969,3487.853
2014-04-16,21.526100158691406,1.4782,3533.086
2014-04-17,21.52949905395508,1.4778,3534.532
2014-04-18,21.53089904785156,1.4777,3534.532
2014-04-21,21.68779945373535,1.4669,3559.947
2014-04-22,21.70319938659668,1.4547,3588.805
2014-04-23,21.35070037841797,1.4697,3557.036
2014-04-24,21.56450080871582,1.4566,3591.029
2014-04-25,21.21269989013672,1.4802,3533.095
2014-04-28,21.26189994812012,1.4315,3545.025
2014-04-29,21.76609992980957,1.4192,3573.99
2014-04-30,21.80820083618164,1.4163,3582.02
2014-05-05,20.132400512695312,1.3407,3605.092
2014-05-06,19.83749961853028,1.3661,3556.509
2014-05-07,19.80990028381348,1.3701,3546.473
2014-05-08,19.75200080871582,1.4409,3540.419
2014-05-09,19.84079933166504,1.4347,3555.698
2014-05-12,20.167499542236328,1.3453,3612.726
2014-05-13,20.16270065307617,1.417,3611.131
2014-05-14,20.079200744628903,1.4235,3593.249
2014-05-15,19.8799991607666,1.3829,3565.174
2014-05-16,19.994199752807617,1.3696,3587.199
2014-05-19,20.184200286865234,1.3565,3615.617
2014-05-20,20.0757999420166,1.3685,3600.308
2014-05-21,20.296600341796875,1.3567,3635.614
2014-05-22,22.11669921875,1.3433,3650.863
2014-05-23,22.05430030822754,1.3308,3677.334
2014-05-26,21.98819923400879,1.3308,3677.334
2014-05-27,21.955299377441406,1.313,3735.721
2014-05-28,21.979999542236328,1.3206,3712.261
2014-05-29,21.61989974975586,1.3141,3735.721
2014-05-30,21.52589988708496,1.3114,3736.821
2014-06-03,22.02199935913086,1.333,3730.072
2014-06-04,21.910999298095703,1.317,3743.594
2014-06-05,21.93000030517578,1.3045,3776.95
2014-06-06,21.8981990814209,1.301,3794.57
2014-06-09,22.0280990600586,1.2986,3795.743
2014-06-10,21.94799995422364,1.2972,3800.86
2014-06-11,22.04899978637696,1.3827,3797.85
2014-06-12,22.04899978637696,1.3967,3763.803
2014-06-13,21.97050094604492,1.2673,3775.564
2014-06-16,21.884700775146484,1.2642,3779.933
2014-06-17,21.71139907836914,1.2655,3781.319
2014-06-18,21.70560073852539,1.2531,3804.606
2014-06-19,21.693500518798828,1.2551,3800.797
2014-06-20,21.795700073242188,1.2543,3802.638
2014-06-23,21.89620018005371,1.2513,3805.313
2014-06-24,21.99679946899414,1.2531,3799.53
2014-06-25,22.131500244140625,1.244,3827.329
2014-06-26,22.317699432373047,1.2496,3826.912
2014-06-27,22.15570068359375,1.2427,3844.438
2014-06-30,20.274799346923828,1.252,3849.479
2014-07-01,20.222299575805664,1.2371,3894.329
2014-07-02,20.293399810791016,1.2264,3899.27
2014-07-03,20.437700271606445,1.2192,3923.01
2014-07-04,20.62420082092285,1.2192,3923.01
2014-07-07,20.730899810791016,1.2228,3910.708
2014-07-08,20.581100463867188,1.2405,3864.065
2014-07-09,20.44860076904297,1.2333,3892.914
2014-07-10,20.54800033569336,1.2363,3880.038
2014-07-11,20.44099998474121,1.2275,3904.579
2014-07-14,20.23159980773925,1.2183,3929.464
2014-07-15,20.24250030517578,1.2221,3914.455
2014-07-16,20.24250030517578,1.2152,3932.334
2014-07-17,20.34119987487793,1.2313,3878.008
2014-07-18,20.298799514770508,1.2097,3939.894
2014-07-21,20.363399505615234,1.2124,3934.136
2014-07-22,20.3488998413086,1.204,3961.623
2014-07-23,20.41699981689453,1.198,3986.192
2014-07-24,20.40800094604492,1.1993,3983.188
2014-07-25,20.40699958801269,1.2033,3965.165
2014-07-28,20.291200637817383,1.2021,3967.244
