,PE_TTM,DIVIDENDYIELD2,CLOSE
2022-03-21,27.132699966430664,0.4572,996.5034
2022-03-22,27.686599731445312,0.4481,1013.0122
2022-03-23,27.336700439453125,0.4539,992.1276
2022-03-24,28.10280036926269,0.4414,1029.0196
2022-03-25,28.08169937133789,0.4417,1025.9067
2022-03-28,28.31089973449707,0.4382,1038.9398
2022-03-29,28.66270065307617,0.4313,1059.1438
2022-03-30,28.329099655151367,0.4364,1039.7648
2022-03-31,27.77400016784668,0.445,1021.2723
2022-04-01,27.788299560546875,0.4449,1017.0633
2022-04-06,26.973100662231445,0.4584,981.247
2022-04-07,26.988100051879883,0.4586,983.1014
2022-04-08,26.51799964904785,0.4692,964.0035
2022-04-11,25.73699951171875,0.4817,938.6539
2022-04-12,25.610599517822266,0.484,932.4522
2022-04-13,26.08930015563965,0.4751,951.1389
2022-04-14,25.364999771118164,0.4887,924.1461
2022-04-15,25.35709953308105,0.4889,924.1461
2022-04-18,25.47649955749512,0.4865,930.7791
2022-04-19,25.964099884033203,0.4775,951.4899
2022-04-20,25.73970031738281,0.4822,936.3422
2022-04-21,25.122499465942383,0.4939,907.5454
2022-04-22,24.34709930419922,0.5095,883.2018
2022-04-25,24.82150077819824,0.4998,900.0703
2022-04-26,23.860200881958008,0.5195,864.3442
2022-04-27,23.798900604248047,0.5214,860.517
2022-04-28,24.576000213623047,0.4985,910.0327
2022-04-29,23.59779930114746,0.5194,870.3794
2022-05-05,23.712099075317383,0.5519,880.228
2022-05-06,23.5137996673584,0.591,868.4366
2022-05-09,22.570899963378903,0.5664,827.5044
2022-05-10,22.97130012512207,0.5561,844.8173
2022-05-11,22.258399963378903,0.5741,815.7024
2022-05-12,22.032400131225582,0.5801,813.9328
2022-05-13,22.837900161743164,0.5612,850.5752
2022-05-16,22.57379913330078,0.5664,838.9822
2022-05-17,23.152700424194336,0.552,865.3802
2022-05-18,21.9955997467041,0.6264,821.3041
2022-05-19,21.78809928894043,0.635,819.1006
2022-05-20,21.710100173950195,0.5938,818.6231
2022-05-23,22.22920036315918,0.5787,830.6578
2022-05-24,21.53700065612793,0.5971,804.675
2022-05-25,21.70330047607422,0.593,819.3945
2022-05-26,22.211000442504883,0.5784,845.8212
2022-05-27,23.02330017089844,0.5585,877.8733
2022-05-30,23.02330017089844,0.5561,877.8733
2022-05-31,22.979799270629883,0.5572,871.9827
2022-06-01,22.876399993896484,0.5677,863.8606
2022-06-02,23.53339958190918,0.552,895.3943
