,PE_TTM,DIVIDENDYIELD2,CLOSE
2014-12-24,21.161699295043945,1.3684,705.843
2014-12-25,21.161699295043945,1.3666,705.843
2014-12-26,21.25239944458008,1.3606,708.7448
2014-12-29,21.097299575805664,1.37,705.2698
2014-12-30,20.962299346923828,1.3869,700.3407
2014-12-31,20.697799682617188,1.4047,691.9464
2015-01-05,20.29850006103516,1.4338,678.7169
2015-01-06,19.965499877929688,1.4531,670.4178
2015-01-07,20.113000869750977,1.4448,676.2165
2015-01-08,20.52549934387207,1.411,691.5786
2015-01-09,20.44230079650879,1.4149,689.6432
2015-01-12,20.186899185180664,1.4332,680.3731
2015-01-13,20.18819999694824,1.4331,679.9295
2015-01-14,20.10639953613281,1.4388,676.3165
2015-01-15,19.738000869750977,1.4584,666.425
2015-01-16,19.93149948120117,1.4443,672.5193
2015-01-19,19.93149948120117,1.4443,672.5193
2015-01-20,20.150999069213867,1.4339,678.031
2015-01-21,20.20709991455078,1.4297,679.0171
2015-01-22,20.62420082092285,1.4011,692.2947
2015-01-23,20.673599243164062,1.3981,693.4434
2015-01-26,20.55780029296875,1.4051,690.4147
2015-01-27,19.44510078430176,1.4515,667.8133
2015-01-28,19.354900360107425,1.4642,667.3691
2015-01-29,19.250099182128903,1.4532,674.5579
2015-01-30,19.09670066833496,1.4581,664.9247
2015-02-02,19.245399475097656,1.4434,671.8361
2015-02-03,19.433500289916992,1.4296,678.7707
2015-02-04,19.44529914855957,1.4588,679.6043
2015-02-05,19.643999099731445,1.5123,685.8145
2015-02-06,19.534400939941406,1.5254,681.4799
2015-02-09,19.547700881958008,1.43,680.4641
2015-02-10,19.84630012512207,1.4076,691.2615
2015-02-11,19.813100814819336,1.4123,694.1865
2015-02-12,20.12829971313477,1.3919,705.569
2015-02-13,20.26700019836425,1.377,710.5904
2015-02-16,20.26700019836425,1.372,710.5904
2015-02-17,20.238000869750977,1.4377,710.5646
2015-02-25,20.37980079650879,1.3789,716.4453
2015-02-26,20.54910087585449,1.3683,721.2445
2015-02-27,20.45929908752441,1.3666,717.4063
2015-03-02,20.683799743652344,1.3687,724.3893
2015-03-03,20.545499801635746,1.3781,718.6282
2015-03-04,20.490800857543945,1.3679,716.2889
2015-03-05,20.484899520874023,1.3685,715.407
2015-03-06,20.23579978942871,1.3863,707.1785
2015-03-09,20.328500747680664,1.3874,710.6589
