,PE_TTM,DIVIDENDYIELD2,CLOSE
2018-05-25,24.23909950256348,1.6201,1390.836
2018-05-28,24.23909950256348,1.5593,1390.836
2018-05-29,24.0226993560791,1.6404,1380.917
2018-05-30,23.96419906616211,1.6509,1389.913
2018-05-31,23.810199737548828,1.6531,1378.996
2018-06-01,24.31529998779297,1.6187,1411.306
2018-06-04,24.50079917907715,1.6065,1422.673
2018-06-05,24.57950019836425,1.6142,1428.508
2018-06-06,24.71080017089844,1.6004,1437.941
2018-06-07,23.2091007232666,1.6244,1424.336
2018-06-08,23.006999969482425,1.6268,1412.287
2018-06-11,22.915000915527344,1.6333,1408.991
2018-06-12,23.00539970397949,1.6269,1416.368
2018-06-13,22.972000122070312,1.6293,1414.481
2018-06-14,23.077800750732425,1.6218,1423.123
2018-06-15,23.04290008544922,1.6242,1422.037
2018-06-19,22.442800521850582,1.6928,1391.581
2018-06-20,21.84160041809082,1.679,1398.599
2018-06-21,21.555400848388672,1.7013,1381.008
2018-06-22,21.5049991607666,1.7053,1371.001
2018-06-25,20.707000732421875,2.1957,1328.04
2018-06-26,20.70820045471192,2.1955,1333.401
2018-06-27,20.23310089111328,1.8712,1300.506
2018-06-28,20.41010093688965,1.8531,1311.641
2018-06-29,20.492000579833984,1.8451,1313.704
2018-07-02,20.54400062561035,1.838,1321.814
2018-07-03,20.1968002319336,1.8696,1297.709
2018-07-04,20.1968002319336,1.8696,1297.709
2018-07-05,20.65080070495605,1.8285,1332.96
2018-07-06,20.78689956665039,1.8171,1349.189
2018-07-09,20.93980026245117,1.8039,1358.03
2018-07-10,21.15019989013672,1.7859,1372.255
2018-07-11,20.63549995422364,1.8304,1336.71
2018-07-12,20.772600173950195,1.8184,1346.205
2018-07-13,20.73660087585449,1.8215,1340.834
2018-07-16,20.6825008392334,1.8263,1339.241
2018-07-17,20.909099578857425,1.8065,1358.989
2018-07-18,21.086599349975582,1.7921,1369.462
2018-07-19,21.23940086364746,1.7883,1365.817
2018-07-20,21.269899368286133,1.7857,1359.185
2018-07-23,21.32489967346192,1.7811,1361.378
2018-07-24,21.03030014038086,1.7982,1346.578
2018-07-25,21.07559967041016,1.7831,1353.15
2018-07-26,20.310800552368164,1.7723,1378.418
2018-07-27,20.015600204467773,1.7984,1372.236
2018-07-30,19.80500030517578,1.8241,1358.56
2018-07-31,19.90019989013672,1.8154,1367.475
2018-08-01,19.938100814819336,1.8119,1365.112
2018-08-02,20.10199928283692,1.7971,1378.831
2018-08-03,20.16390037536621,1.7916,1381.636
2018-08-06,20.082000732421875,1.8074,1389.224
2018-08-07,20.22920036315918,1.8007,1400.002
2018-08-08,20.32360076904297,1.7918,1403.767
2018-08-09,20.211299896240234,1.7989,1389.059
2018-08-10,19.76609992980957,1.8394,1354.8
2018-08-13,19.71629905700684,1.844,1356.754
2018-08-14,19.71199989318848,1.8444,1354.186
2018-08-15,19.423799514770508,1.8718,1334.859
2018-08-16,19.173599243164062,1.8744,1333.092
2018-08-17,18.979700088500977,1.8936,1323.415
2018-08-20,18.963499069213867,1.8953,1322.099
2018-08-21,19.337099075317383,1.8587,1348.283
2018-08-22,19.28899955749512,1.8691,1354.525
2018-08-23,19.26309967041016,1.8568,1356.135
2018-08-24,19.51919937133789,1.8325,1375.882
2018-08-27,19.78899955749512,1.8075,1397.456
2018-08-28,19.90679931640625,1.7968,1402.947
2018-08-29,20.08130073547364,1.7349,1406.378
2018-08-30,19.894500732421875,1.7569,1393.166
2018-08-31,19.989500045776367,1.7486,1401.203
2018-09-03,19.989500045776367,1.7486,1401.203
2018-09-04,20.010900497436523,1.816,1410.931
2018-09-05,19.9197998046875,1.8243,1403.823
2018-09-06,19.35330009460449,1.8622,1366.347
2018-09-07,19.35420036315918,1.8611,1360.768
2018-09-10,19.46249961853028,1.8381,1375.741
2018-09-11,19.1825008392334,1.8783,1361.888
2018-09-12,18.88969993591309,1.9075,1346.021
2018-09-13,19.16860008239746,1.8741,1362.201
2018-09-14,19.34569931030273,1.8569,1377.306
2018-09-17,19.102500915527344,1.8805,1357.477
2018-09-18,19.27580070495605,1.9193,1368.867
2018-09-19,19.38159942626953,1.877,1371.684
2018-09-20,19.01440048217773,1.8593,1387.673
2018-09-21,18.92140007019043,1.8684,1383.087
2018-09-25,18.74650001525879,1.8925,1364.823
2018-09-26,18.62929916381836,1.9074,1351.852
2018-09-27,18.722400665283203,1.8989,1357.87
2018-09-28,18.918800354003903,1.8764,1366.742
2018-10-08,17.74489974975586,2.0007,1301.001
2018-10-09,17.704999923706055,2.0052,1300.15
2018-10-10,16.912799835205078,2.0991,1242.102
2018-10-11,16.682100296020508,2.1282,1229.364
2018-10-12,17.01020050048828,2.0871,1253.577
2018-10-15,16.770299911499023,2.117,1241.822
2018-10-16,17.334800720214844,2.0497,1282.947
2018-10-17,17.21660041809082,2.059,1277.313
2018-10-18,16.791200637817383,2.1109,1245.296
2018-10-19,16.579599380493164,2.1379,1225.941
2018-10-22,16.70400047302246,2.1219,1234.195
2018-10-23,16.42889976501465,2.1481,1227.607
2018-10-24,15.39009952545166,2.2917,1146.41
2018-10-25,15.455900192260742,2.2207,1173.207
2018-10-26,15.24899959564209,2.2508,1152.999
2018-10-29,15.0201997756958,2.2833,1140.153
2018-10-30,15.687899589538574,2.2504,1187.566
2018-10-31,15.456600189208984,2.1773,1202.297
2018-11-01,16.025800704956055,2.1,1258.075
2018-11-02,15.781399726867676,2.1325,1239.16
2018-11-05,15.692500114440918,2.1446,1228.599
2018-11-06,15.789299964904783,2.2487,1242.628
2018-11-07,16.15760040283203,2.1119,1257.468
2018-11-08,16.04129981994629,2.127,1252.23
2018-11-09,15.784799575805664,2.1695,1229.055
2018-11-12,15.1358003616333,2.2625,1174.49
2018-11-13,15.35949993133545,2.2295,1190.375
2018-11-14,15.386500358581545,2.2256,1194.708
2018-11-15,15.774900436401367,2.1547,1234.615
2018-11-16,15.367199897766112,2.2119,1220.145
2018-11-19,14.80459976196289,2.2959,1173.011
2018-11-20,14.770999908447266,2.3065,1174.822
2018-11-21,14.80869960784912,2.3052,1179.733
2018-11-22,14.80869960784912,2.3052,1179.733
2018-11-23,14.75,2.2961,1179.24
2018-11-26,15.062899589538574,2.2546,1201.721
2018-11-27,15.097999572753906,2.2508,1204.076
2018-11-28,15.470199584960938,2.2235,1231.449
2018-11-29,15.315199851989746,2.1786,1221.43
2018-11-30,15.544300079345703,2.1376,1239.602
2018-12-03,15.921099662780762,2.0728,1272.737
2018-12-04,15.22599983215332,2.1903,1209.346
2018-12-05,15.22599983215332,2.1903,1209.346
2018-12-06,15.047900199890137,2.2593,1202.825
2018-12-07,14.529500007629396,2.3399,1157.862
2018-12-10,14.740400314331056,2.3064,1174.185
2018-12-11,14.814800262451172,2.2948,1181.479
2018-12-12,15.034099578857422,2.2613,1198.899
2018-12-13,15.035699844360352,2.2678,1194.595
2018-12-14,14.808099746704102,2.3026,1177.565
2018-12-17,14.635299682617188,2.3298,1162.463
2018-12-18,14.701600074768066,2.399,1177.363
2018-12-19,14.121800422668455,2.4291,1127.442
2018-12-20,14.009400367736816,2.4486,1117.742
2018-12-21,13.822400093078612,2.4818,1101.295
2018-12-24,13.456600189208984,2.5532,1069.391
2018-12-25,13.456600189208984,2.5532,1069.391
2018-12-26,14.186100006103516,2.4257,1131.103
2018-12-27,14.270600318908691,2.4085,1139.488
2018-12-28,14.376999855041504,2.3884,1147.366
2019-01-02,14.405099868774414,2.383,1165.302
2019-01-03,13.564800262451172,2.5306,1096.026
2019-01-04,14.106800079345703,2.4334,1143.964
2019-01-07,14.32349967956543,2.3966,1166.24
2019-01-08,14.247200012207031,2.4094,1160.546
2019-01-09,14.585599899291992,2.3535,1189.842
2019-01-10,14.772199630737305,2.3238,1201.398
2019-01-11,14.889699935913086,2.3055,1213.043
2019-01-14,14.664199829101562,2.3409,1194.277
2019-01-15,14.71500015258789,2.3328,1197.029
2019-01-16,14.582799911499023,2.354,1187.186
2019-01-17,14.684599876403809,2.3289,1200.755
2019-01-18,15.002599716186523,2.2795,1228.328
2019-01-21,15.002599716186523,2.2795,1228.328
2019-01-22,14.642800331115724,2.3355,1193.356
2019-01-23,14.208200454711914,2.345,1185.945
2019-01-24,13.817999839782717,2.239,1253.914
2019-01-25,13.940299987792969,2.2193,1281.161
2019-01-28,13.61620044708252,2.2721,1254.402
2019-01-29,13.3858003616333,2.3055,1236.251
2019-01-30,12.60990047454834,2.3191,1271.759
2019-01-31,12.539899826049805,2.2702,1272.09
2019-02-01,12.75510025024414,2.241,1287.402
2019-02-11,13.148900032043455,2.1555,1308.884
2019-02-12,13.416399955749512,2.1122,1336.718
2019-02-13,13.448699951171877,2.1071,1340.711
2019-02-14,13.482399940490724,2.1106,1344.106
2019-02-15,13.560799598693848,2.091,1351.18
2019-02-18,13.553000450134276,2.0922,1351.18
2019-02-19,13.535200119018556,2.095,1348.486
2019-02-20,13.635000228881836,2.1002,1360.279
2019-02-21,13.545700073242188,2.0991,1350.251
2019-02-22,13.70419979095459,2.0711,1364.777
2019-02-25,13.809000015258787,2.0513,1375.953
2019-02-26,13.745200157165527,2.0608,1366.577
2019-02-27,13.618599891662598,2.0899,1349.869
2019-02-28,13.581899642944336,2.0533,1350.202
2019-03-01,13.699399948120115,2.0264,1363.134
2019-03-04,13.72089958190918,2.0232,1363.254
2019-03-05,13.663000106811523,2.0318,1356.897
2019-03-06,13.453900337219238,2.1237,1333.821
2019-03-07,13.361700057983398,2.1389,1319.09
2019-03-08,13.340100288391112,2.1424,1318.206
2019-03-11,13.623499870300291,2.0837,1349.876
2019-03-12,13.686699867248535,2.074,1355.125
2019-03-13,13.792099952697754,2.0582,1360.768
2019-03-14,14.59469985961914,2.0746,1353.062
2019-03-15,15.023799896240234,2.021,1392.355
2019-03-18,14.99880027770996,2.0244,1388.773
2019-03-19,15.139399528503418,2.0184,1407.354
2019-03-20,15.322799682617188,2.1149,1393.01
2019-03-21,15.789799690246582,2.0523,1441.829
2019-03-22,15.377900123596191,2.0521,1400.37
2019-03-25,15.189000129699709,2.0776,1382.748
2019-03-26,15.359800338745115,2.0545,1396.749
2019-03-27,15.183199882507324,2.0815,1376.482
2019-03-28,15.1766996383667,2.0838,1373.801
2019-03-29,15.40250015258789,2.047,1395.511
2019-04-01,15.71679973602295,2.006,1430.244
2019-04-02,15.723099708557127,2.0082,1431.63
2019-04-03,16.037599563598633,1.9688,1464.195
2019-04-04,16.07229995727539,1.9646,1465.894
2019-04-08,16.215700149536133,1.9472,1481.377
2019-04-09,16.060199737548828,1.9661,1464.516
2019-04-10,16.174800872802734,1.9521,1477.158
2019-04-11,16.152000427246094,1.9549,1476.07
2019-04-12,16.368200302124023,1.9291,1497.118
2019-04-15,16.258800506591797,1.942,1485.822
2019-04-16,16.648300170898438,1.8966,1533.22
2019-04-17,17.010499954223633,1.8619,1557.078
2019-04-18,17.27630043029785,1.8551,1558.13
2019-04-19,17.291500091552734,1.8535,1558.13
2019-04-22,17.291799545288086,1.8534,1558.292
2019-04-23,17.4468994140625,1.8397,1574.054
2019-04-24,17.582500457763672,1.8295,1589.019
2019-04-25,17.3794002532959,1.8619,1560.324
2019-04-26,17.030899047851562,1.9714,1547.405
2019-04-29,16.989200592041016,1.9285,1544.44
2019-04-30,17.116100311279297,1.9179,1556.18
2019-05-06,16.993900299072266,1.9368,1543.725
2019-05-07,16.649900436401367,1.9751,1506.315
2019-05-08,16.49850082397461,1.9933,1494.478
2019-05-09,16.23110008239746,2.0259,1476.801
2019-05-10,16.209800720214844,2.0278,1478.867
2019-05-13,15.499699592590332,2.1207,1408.95
2019-05-14,15.85949993133545,2.0818,1442.833
2019-05-15,15.965700149536133,2.0593,1454.504
2019-05-16,16.008399963378906,2.0862,1430.108
2019-05-17,15.687999725341797,2.1289,1402.01
2019-05-20,15.06429958343506,2.2225,1345.583
2019-05-21,15.365500450134276,2.1789,1374.213
2019-05-22,15.092399597167969,2.2306,1345.042
2019-05-23,14.875800132751465,2.264,1322.84
2019-05-24,14.787699699401855,2.2531,1311.968
2019-05-27,14.787699699401855,2.2522,1311.968
2019-05-28,14.621500015258787,2.2791,1300.304
2019-05-29,14.670100212097168,2.2821,1305.573
2019-05-30,14.81779956817627,2.2125,1315.289
2019-05-31,14.64229965209961,2.2277,1296.185
2019-06-03,14.663100242614746,2.2245,1300.516
2019-06-04,15.178500175476074,2.149,1355.263
2019-06-05,15.042499542236328,2.2302,1345.102
2019-06-06,15.232000350952148,2.1878,1363.134
2019-06-10,15.768600463867188,2.0995,1413.891
2019-06-11,15.841400146484377,2.1027,1418.021
2019-06-12,15.521200180053713,2.146,1384.951
2019-06-13,16.21500015258789,2.1395,1392.937
2019-06-14,15.76509952545166,2.2006,1356.553
2019-06-17,15.687000274658203,2.2115,1347.862
2019-06-18,16.32469940185547,2.1251,1406.161
2019-06-19,16.339599609375,2.1232,1407.304
2019-06-20,16.5393009185791,2.039,1421.034
2019-06-21,16.462299346923828,2.1307,1410.497
2019-06-24,16.468900680541992,2.5364,1412.075
2019-06-25,16.846900939941406,2.578,1391.118
2019-06-26,17.317899703979492,2.087,1435.832
2019-06-27,17.49920082092285,2.0667,1456.897
2019-06-28,17.525100708007812,2.0607,1458.959
2019-07-01,17.956100463867188,2.0103,1497.55
2019-07-02,17.75200080871582,2.0334,1476.83
2019-07-03,17.667600631713867,2.0431,1470.49
2019-07-04,17.667600631713867,2.0431,1470.49
2019-07-05,17.538799285888672,2.0647,1461.7
2019-07-08,17.380199432373047,2.0812,1450.409
2019-07-09,17.475799560546875,2.0699,1461.214
2019-07-10,17.63909912109375,2.0507,1471.511
2019-07-11,17.72559928894043,2.0437,1476.28
2019-07-12,18.0363998413086,2.0085,1504.283
2019-07-15,18.168800354003903,1.9938,1515.923
2019-07-16,17.987699508666992,2.0139,1499.638
2019-07-17,18.09449958801269,2.0044,1503.87
2019-07-18,18.47450065612793,1.9687,1526.973
2019-07-19,18.48929977416992,1.9671,1523.91
2019-07-22,18.850400924682617,1.9295,1554.088
2019-07-23,19.041099548339844,1.9127,1573.266
2019-07-24,19.510099411010746,1.8662,1622.018
2019-07-25,19.38479995727539,1.8986,1594.115
2019-07-26,19.35810089111328,1.9012,1593.864
2019-07-29,19.45319938659668,1.8923,1598.016
2019-07-30,19.315399169921875,1.9569,1593.821
2019-07-31,18.659799575805664,1.9695,1542.442
2019-08-01,18.29210090637207,2.0065,1511.977
2019-08-02,18.04700088500977,2.0337,1488.432
2019-08-05,17.32830047607422,2.1231,1423.523
2019-08-06,17.553300857543945,2.2101,1441.771
2019-08-07,17.676799774169922,2.0886,1452.124
2019-08-08,18.074199676513672,2.0358,1491.257
2019-08-09,17.775699615478516,2.0692,1464.339
2019-08-12,17.58650016784668,2.0914,1446.979
2019-08-13,18.077600479125977,2.0346,1489.662
2019-08-14,17.504600524902344,2.1105,1442.544
2019-08-15,17.729900360107422,2.103,1439.294
2019-08-16,18.16860008239746,2.0522,1479.25
2019-08-19,18.48990058898925,2.0165,1506.986
2019-08-20,18.43239974975586,2.0321,1498.897
2019-08-21,18.65379905700684,2.0171,1512.72
2019-08-22,18.600799560546875,2.0228,1512.248
2019-08-23,17.84830093383789,2.0938,1446.379
2019-08-26,18.03569984436035,2.077,1458.883
2019-08-27,18.00670051574707,2.0803,1454.117
2019-08-28,18.10219955444336,2.0866,1462.846
2019-08-29,18.511499404907227,2.0571,1495.825
2019-08-30,18.64119911193848,2.0266,1504.925
2019-09-02,18.64119911193848,2.0135,1504.925
2019-09-03,18.31049919128418,2.051,1478.319
2019-09-04,18.87350082397461,1.9898,1519.552
2019-09-05,19.4384994506836,1.8663,1566.209
2019-09-06,19.45560073852539,1.8647,1568.338
2019-09-09,19.56329917907715,1.8503,1576.388
2019-09-10,19.651899337768555,1.842,1583.153
2019-09-11,19.90279960632324,1.871,1606.188
2019-09-12,20.08639907836914,1.8543,1610.791
2019-09-16,19.90539932250977,1.8787,1594.489
2019-09-17,19.991600036621094,1.8706,1599.735
2019-09-18,19.98539924621582,1.8711,1600.952
2019-09-19,19.896299362182617,1.9207,1592.07
2019-09-20,19.5221004486084,2.0323,1563.005
2019-09-23,19.67919921875,2.0161,1578.087
2019-09-24,19.3976993560791,2.0454,1551.994
2019-09-25,19.726299285888672,2.0052,1579.564
2019-09-26,20.916099548339844,1.9956,1580.095
2019-09-27,20.47760009765625,2.0396,1542.868
2019-09-30,20.51930046081543,2.0464,1558.755
2019-10-08,20.15010070800781,2.0811,1514.449
2019-10-09,20.49370002746582,2.049,1540.853
2019-10-10,20.683300018310547,2.0302,1555.793
2019-10-11,21.09239959716797,1.9848,1591.127
2019-10-14,21.10770034790039,1.9834,1590.395
2019-10-15,21.555700302124023,1.9422,1625.686
2019-10-16,21.312400817871094,1.9688,1601.791
2019-10-17,21.16580009460449,1.9693,1607.162
2019-10-18,20.94610023498535,1.9899,1590.093
2019-10-21,21.323699951171875,1.9547,1620.042
