,PE_TTM,DIVIDENDYIELD2,CLOSE
2022-07-01,5.974999904632568,4.3279,2816.73
2022-07-04,5.980800151824951,4.2938,2821.94
2022-07-05,5.9980998039245605,4.3033,2820.8
2022-07-06,5.922999858856201,4.3617,2788.03
2022-07-07,5.900199890136719,3.692,2771.19
2022-07-08,5.884600162506104,3.7679,2783.23
2022-07-11,5.8902997970581055,3.6219,2782.14
2022-07-12,5.852700233459473,4.5579,2793.67
2022-07-13,5.792500019073486,4.6009,2785.68
2022-07-14,5.69950008392334,4.2862,2746.39
2022-07-15,5.544600009918213,6.0926,2681.72
2022-07-18,5.6331000328063965,5.6194,2728.75
2022-07-19,5.652500152587891,5.6146,2729.35
2022-07-20,5.678999900817871,5.5846,2733.5
2022-07-21,5.603000164031982,5.9668,2697.62
2022-07-22,5.622799873352051,5.7246,2699.87
2022-07-25,5.632599830627441,5.7167,2698.81
2022-07-26,5.660099983215332,5.7133,2722.02
2022-07-27,5.624100208282471,5.7532,2705.69
2022-07-28,5.615600109100342,5.8149,2702.35
2022-07-29,5.575099945068359,5.848,2682.5
2022-08-01,5.548200130462647,5.644,2674.33
2022-08-02,5.474199771881104,5.7254,2625.48
2022-08-03,5.425300121307373,5.7764,2606.24
2022-08-04,5.479700088500977,5.7218,2622.71
2022-08-05,5.510000228881836,5.9045,2639.29
2022-08-08,5.492300033569336,5.9211,2639.47
2022-08-09,5.48330020904541,5.9322,2637.72
2022-08-10,5.462299823760986,5.9527,2629.58
2022-08-11,5.531700134277344,5.8766,2663.91
2022-08-12,5.54670000076294,5.8597,2675.56
2022-08-15,5.51170015335083,5.8962,2661.14
2022-08-16,5.503099918365479,5.9055,2659.51
2022-08-17,5.536399841308594,5.8688,2676.19
2022-08-18,5.489299774169922,5.9214,2649.43
2022-08-19,5.513899803161621,5.9372,2659.73
2022-08-22,5.51609992980957,5.9228,2671.62
2022-08-23,5.493100166320801,5.9915,2661.41
2022-08-24,5.459499835968018,5.8334,2640.75
2022-08-25,5.527699947357178,5.8548,2671.85
2022-08-26,5.494100093841553,5.7564,2665.18
2022-08-29,5.4878997802734375,5.7525,2666.77
2022-08-30,5.504799842834473,5.7309,2678.99
2022-08-31,5.51170015335083,5.6896,2686.45
2022-09-01,5.497700214385986,5.7022,2684.57
2022-09-02,5.497900009155273,5.7003,2687.82
2022-09-05,5.536300182342529,5.6555,2708.72
2022-09-06,5.552499771118164,5.6374,2723.64
2022-09-07,5.531700134277344,5.6592,2713.49
2022-09-08,5.53380012512207,5.6583,2717.89
2022-09-09,5.595600128173828,5.5934,2744.05
2022-09-13,5.605100154876709,5.5859,2743.32
2022-09-14,5.56790018081665,5.6249,2721.56
2022-09-15,5.613999843597412,5.5791,2730.47
2022-09-16,5.504300117492676,5.6991,2663.17
2022-09-19,5.5131001472473145,5.4761,2657.05
2022-09-20,5.463900089263916,5.8733,2645.63
2022-09-21,5.485099792480469,5.8475,2663.9
2022-09-22,5.483399868011475,5.8495,2652.49
2022-09-23,5.518499851226807,5.8157,2658.53
2022-09-26,5.41510009765625,5.9311,2604.03
2022-09-27,5.417500019073486,5.9259,2623.67
2022-09-28,5.40369987487793,5.9493,2604.91
2022-09-29,5.360199928283691,5.9954,2582.02
2022-09-30,5.411300182342529,5.9312,2598.7
2022-10-10,5.409999847412109,5.9295,2597.21
2022-10-11,5.395699977874756,5.9462,2595.89
2022-10-12,5.418700218200684,5.9218,2624.44
2022-10-13,5.364999771118164,5.9828,2607.46
2022-10-14,5.3968000411987305,5.9434,2630.42
2022-10-17,5.393700122833252,5.949,2635.87
2022-10-18,5.380099773406982,5.9653,2635.61
2022-10-19,5.3454999923706055,6.0079,2612.09
2022-10-20,5.337399959564209,6.1249,2600.31
2022-10-21,5.350599765777588,6.1097,2608.05
2022-10-24,5.2677998542785645,6.213,2563.33
2022-10-25,5.258699893951416,6.223,2555.84
2022-10-26,5.222799777984619,6.1599,2557.33
2022-10-27,5.2256999015808105,6.1743,2569.35
2022-10-28,5.151899814605713,6.2337,2527.63
2022-10-31,5.004099845886231,6.3738,2492.37
2022-11-01,5.044700145721436,6.311,2531.24
2022-11-02,5.046599864959717,6.3025,2542.17
2022-11-03,5.021399974822998,6.3367,2531.06
2022-11-04,5.098299980163574,6.2382,2567.41
2022-11-07,5.114699840545654,6.2146,2571.74
2022-11-08,5.110000133514404,6.218,2569.05
2022-11-09,5.109300136566162,6.2212,2563.55
2022-11-10,5.110199928283691,6.2267,2562.85
2022-11-11,5.223499774932861,6.0836,2608.8
2022-11-14,5.267000198364258,6.0345,2621.88
2022-11-15,5.296899795532227,5.9961,2642.96
2022-11-16,5.279900074005127,6.0135,2635.4
2022-11-17,5.270299911499023,6.0235,2640.15
2022-11-18,5.245500087738037,6.0592,2628.45
2022-11-21,5.228400230407715,6.0786,2613.3
2022-11-22,5.312300205230713,5.9825,2654.24
2022-11-23,5.355199813842773,5.9328,2674.3
2022-11-24,5.340799808502197,5.9497,2664.32
2022-11-25,5.450500011444092,5.8279,2712.1
2022-11-28,5.371399879455566,5.9112,2687.26
2022-11-29,5.525899887084961,5.7481,2746.63
2022-11-30,5.524499893188477,5.7473,2749.66
2022-12-01,5.484399795532227,5.7827,2739.62
2022-12-02,5.4629998207092285,5.8032,2735.13
2022-12-05,5.618599891662598,5.6455,2817.18
2022-12-06,5.612800121307373,5.6556,2812.88
2022-12-07,5.563300132751465,5.7057,2800.16
2022-12-08,5.57859992980957,5.6939,2799.0
2022-12-09,5.595699787139893,5.6736,2796.04
2022-12-12,5.519899845123291,5.7523,2771.19
2022-12-13,5.553199768066406,5.7267,2775.74
2022-12-14,5.554800033569336,5.7235,2763.02
2022-12-15,5.50629997253418,5.7734,2738.38
2022-12-16,5.568399906158447,5.712,2774.71
2022-12-19,5.478000164031982,5.8103,2726.89
2022-12-20,5.414400100708008,5.873,2691.56
2022-12-21,5.429500102996826,5.8628,2695.47
2022-12-22,5.440000057220459,5.8526,2690.7
2022-12-23,5.424600124359131,5.8704,2681.41
2022-12-26,5.396399974822998,5.8989,2677.0
2022-12-27,5.4604997634887695,5.8329,2702.16
2022-12-28,5.491199970245361,5.802,2700.52
2022-12-29,5.448699951171875,5.8485,2677.17
2022-12-30,5.563499927520752,5.8467,2698.61
2023-01-03,5.5802001953125,5.8251,2717.53
2023-01-04,5.642199993133545,5.7638,2739.12
2023-01-05,5.644000053405762,5.7607,2743.45
2023-01-06,5.64330005645752,5.7635,2735.71
2023-01-09,5.6504998207092285,5.753,2736.63
2023-01-10,5.608200073242188,5.7936,2724.68
2023-01-11,5.641200065612793,5.7649,2729.56
2023-01-12,5.643799781799316,5.7577,2728.06
2023-01-13,5.701399803161621,5.6961,2755.72
2023-01-16,5.700799942016602,5.6788,2773.42
2023-01-17,5.688899993896484,5.6894,2770.07
2023-01-18,5.692999839782715,5.6861,2779.48
2023-01-19,5.704899787902832,5.6745,2788.28
2023-01-20,5.74429988861084,5.6293,2809.56
2023-01-30,5.747200012207031,5.6249,2804.98
2023-01-31,5.7266998291015625,5.6571,2796.8
2023-02-01,5.738900184631348,5.6433,2815.13
2023-02-02,5.715199947357178,5.6648,2807.6
2023-02-03,5.676199913024902,5.7055,2788.79
2023-02-06,5.64109992980957,5.7416,2773.48
2023-02-07,5.657899856567383,5.7223,2781.94
2023-02-08,5.649199962615967,5.7335,2768.54
2023-02-09,5.681900024414063,5.6975,2788.71
2023-02-10,5.682700157165527,5.6971,2796.15
2023-02-13,5.673600196838379,5.7035,2815.61
2023-02-14,5.684700012207031,5.6939,2820.17
2023-02-15,5.6579999923706055,5.7174,2819.95
2023-02-16,5.651999950408936,5.7265,2808.08
2023-02-17,5.626500129699707,5.7565,2792.91
2023-02-20,5.736800193786621,5.6376,2863.46
2023-02-21,5.76200008392334,5.6104,2882.87
2023-02-22,5.725200176239014,5.6474,2862.63
2023-02-23,5.724999904632568,5.6459,2860.63
2023-02-24,5.687699794769287,5.6839,2849.97
2023-02-27,5.664100170135498,5.7659,2837.26
2023-02-28,5.701499938964844,5.729,2866.8
2023-03-01,5.768899917602539,5.6549,2906.04
2023-03-02,5.811999797821045,5.6112,2930.43
2023-03-03,5.90369987487793,5.5289,2967.9
2023-03-06,5.869900226593018,5.5645,2961.12
2023-03-07,5.889400005340576,5.5515,2945.29
2023-03-08,5.875899791717529,5.5645,2951.89
2023-03-09,5.857999801635742,5.5796,2956.41
2023-03-10,5.769299983978272,5.6686,2912.31
2023-03-13,5.876100063323975,5.5587,2969.08
2023-03-14,5.851500034332275,5.5829,2952.89
2023-03-15,5.928400039672852,5.5181,2981.17
2023-03-16,5.968100070953369,5.5139,2974.86
2023-03-17,6.045400142669678,5.4362,3015.05
2023-03-20,6.040500164031982,5.4428,3006.99
2023-03-21,5.987599849700928,5.4872,2997.35
2023-03-22,6.049300193786621,5.4331,3026.52
2023-03-23,6.104000091552734,5.3825,3052.93
2023-03-24,6.021900177001953,5.4553,3029.36
2023-03-27,5.965400218963623,5.5115,2993.17
2023-03-28,6.0081000328063965,5.4843,2994.47
2023-03-29,5.982200145721436,5.5098,2979.64
2023-03-30,6.006199836730957,5.4347,3014.59
2023-03-31,5.959400177001953,5.4464,3022.97
2023-04-03,5.976500034332275,5.4279,3040.48
2023-04-04,6.085999965667725,5.3378,3087.4
2023-04-06,6.094200134277344,5.326,3093.26
2023-04-07,6.081600189208984,5.3425,3083.21
2023-04-10,6.115200042724609,5.2565,3083.52
2023-04-11,6.140699863433838,5.2326,3093.79
2023-04-12,6.229599952697754,5.1557,3134.25
2023-04-13,6.223899841308594,5.1677,3117.51
2023-04-14,6.2546000480651855,5.1374,3130.36
2023-04-17,6.403900146484375,5.016,3182.56
2023-04-18,6.4704999923706055,4.9763,3204.99
2023-04-19,6.426199913024902,5.0189,3175.05
2023-04-20,6.468500137329102,4.9762,3211.01
2023-04-21,6.386000156402588,5.0397,3172.19
2023-04-24,6.3815999031066895,5.0479,3171.17
2023-04-25,6.470399856567383,4.98,3201.54
2023-04-26,6.404799938201904,5.0363,3169.09
2023-04-27,6.413300037384033,4.9905,3184.48
2023-04-28,6.491899967193604,4.917,3222.31
2023-05-04,6.693399906158447,4.7869,3269.11
2023-05-05,6.727200031280518,4.7751,3269.19
2023-05-08,7.051599979400635,4.5635,3363.16
