,PE_TTM,DIVIDENDYIELD2,CLOSE
2016-07-08,12.983099937438965,4.0244,2177.43
2016-07-11,13.184200286865234,3.968,2209.53
2016-07-12,13.392499923706056,3.9655,2244.05
2016-07-13,13.42360019683838,3.962,2248.77
2016-07-14,13.47760009765625,3.8931,2251.11
2016-07-15,13.519399642944336,3.8883,2258.47
2016-07-18,13.506099700927734,3.8868,2255.35
2016-07-19,13.440600395202637,3.8964,2247.18
2016-07-20,13.517800331115724,3.8685,2260.76
2016-07-21,13.56820011138916,3.852,2272.67
2016-07-22,13.499500274658203,3.8696,2262.89
2016-07-25,13.479100227355955,3.8791,2257.62
2016-07-26,13.538599967956545,3.8607,2266.96
2016-07-27,13.48449993133545,3.8736,2261.87
2016-07-28,13.44130039215088,3.8915,2247.11
2016-07-29,13.22410011291504,3.9603,2210.72
2016-08-01,13.365500450134276,3.9114,2239.0
2016-08-02,13.318900108337402,3.9114,2239.0
2016-08-03,13.256099700927734,3.9327,2228.74
2016-08-04,13.361599922180176,3.9144,2245.88
2016-08-05,13.552499771118164,3.8653,2272.64
2016-08-08,13.748900413513184,3.8118,2305.4
2016-08-09,13.793100357055664,3.7921,2314.77
2016-08-10,13.773500442504885,3.7951,2312.4
2016-08-11,13.903800010681152,3.7567,2335.56
2016-08-12,13.906999588012695,3.7408,2348.08
2016-08-15,13.986700057983398,3.7632,2364.41
2016-08-16,13.968199729919434,3.7654,2369.65
2016-08-17,13.978799819946287,3.7594,2364.99
2016-08-18,14.155500411987305,3.731,2377.3
2016-08-19,14.149999618530272,3.7328,2375.52
2016-08-22,14.087499618530272,3.6993,2367.49
2016-08-23,13.951299667358398,3.7236,2350.97
2016-08-24,13.9753999710083,3.7153,2356.36
2016-08-25,13.977999687194824,3.7334,2345.75
2016-08-26,14.429200172424316,3.697,2368.32
2016-08-29,14.28339958190918,3.6453,2372.62
2016-08-30,15.0246000289917,3.5963,2404.4
2016-08-31,14.91450023651123,3.6189,2388.49
2016-09-01,14.90310001373291,3.6517,2390.74
2016-09-02,15.015999794006348,3.6414,2406.54
2016-09-05,15.25629997253418,3.5551,2446.32
2016-09-06,15.529399871826172,3.4969,2492.28
2016-09-07,15.494799613952637,3.5263,2482.72
2016-09-08,15.561599731445312,3.5387,2498.62
2016-09-09,15.589200019836426,3.532,2495.35
2016-09-12,15.04069995880127,3.6871,2405.95
2016-09-13,15.01710033416748,3.6872,2406.74
2016-09-14,14.99940013885498,3.6913,2403.69
2016-09-19,15.736499786376951,2.6317,2448.27
2016-09-20,15.753899574279783,2.6338,2449.69
2016-09-21,15.873000144958496,2.6159,2468.85
2016-09-22,15.958100318908691,2.6012,2481.31
2016-09-23,15.848699569702148,2.6305,2465.09
2016-09-26,15.538299560546877,2.6422,2414.57
2016-09-27,15.652199745178224,2.6206,2434.4
2016-09-28,15.595199584960938,2.6286,2428.84
2016-09-29,15.73169994354248,2.683,2449.87
2016-09-30,15.454099655151367,2.7427,2404.72
2016-10-10,15.849499702453612,2.7191,2467.62
2016-10-11,15.748000144958496,2.7416,2453.47
2016-10-12,15.631799697875977,2.7604,2437.57
2016-10-13,15.422300338745115,2.7762,2405.18
2016-10-14,15.475199699401855,2.7719,2411.2
2016-10-17,15.423999786376951,2.7803,2403.47
2016-10-18,15.66569995880127,2.7389,2440.84
2016-10-19,15.606599807739258,2.7475,2432.63
2016-10-20,15.644100189208984,2.7379,2439.31
2016-10-21,15.583800315856934,2.7379,2439.31
2016-10-24,15.738499641418455,2.7091,2464.65
2016-10-25,15.69509983062744,2.7151,2454.7
2016-10-26,15.386799812316896,2.7423,2425.09
2016-10-27,15.680399894714355,2.7573,2407.93
2016-10-28,15.60319995880127,2.7702,2392.23
2016-10-31,15.497200012207031,2.7832,2376.9
2016-11-01,15.62679958343506,2.7575,2398.61
2016-11-02,15.454099655151367,2.7884,2371.57
2016-11-03,15.37909984588623,2.8038,2357.79
2016-11-04,15.36989974975586,2.8107,2353.1
2016-11-07,15.571800231933594,2.7738,2387.39
2016-11-08,15.66860008239746,2.7589,2401.67
2016-11-09,15.473099708557127,2.794,2368.62
2016-11-10,15.712200164794922,2.7544,2403.73
2016-11-11,15.577500343322754,2.7841,2375.68
2016-11-14,15.439599990844728,2.8105,2352.35
2016-11-15,15.44950008392334,2.8093,2350.68
2016-11-16,15.490599632263184,2.802,2358.2
2016-11-17,15.515299797058104,2.801,2360.16
2016-11-18,15.540300369262695,2.7096,2367.61
2016-11-21,15.591699600219728,2.6983,2377.34
2016-11-22,15.755499839782717,2.6759,2401.02
2016-11-23,15.714799880981444,2.6828,2394.52
2016-11-24,15.733400344848633,2.6829,2394.66
2016-11-25,15.842100143432615,2.6648,2410.04
2016-11-28,15.982000350952148,2.6404,2434.03
2016-11-29,15.886199951171877,2.6579,2420.56
2016-11-30,15.909700393676758,2.6459,2420.27
2016-12-01,15.936599731445312,2.6473,2422.82
2016-12-02,15.764699935913086,2.6758,2395.24
2016-12-05,15.613900184631348,2.7099,2376.04
2016-12-06,15.651399612426758,2.7003,2383.8
2016-12-07,15.708100318908691,2.6945,2394.31
2016-12-08,15.842399597167969,2.6659,2414.41
2016-12-09,15.684599876403809,2.6994,2389.55
2016-12-12,15.424500465393066,2.7405,2345.97
2016-12-13,15.538000106811523,2.7163,2363.46
2016-12-14,15.454500198364258,2.7294,2348.79
2016-12-15,15.255999565124512,2.7618,2318.15
2016-12-16,15.318599700927734,2.7462,2324.64
2016-12-19,15.156800270080566,2.759,2303.27
2016-12-20,15.02239990234375,2.8061,2282.52
2016-12-21,15.075799942016602,2.7933,2291.63
2016-12-22,14.925299644470217,2.8186,2270.3
2016-12-23,14.85420036315918,2.7815,2257.97
2016-12-26,14.85420036315918,2.7815,2257.97
2016-12-27,14.85420036315918,2.7815,2257.97
2016-12-28,15.015700340270996,2.7512,2283.55
2016-12-29,15.076499938964844,2.7411,2291.35
2016-12-30,15.266400337219238,2.7085,2319.73
2017-01-03,15.275799751281738,2.7072,2321.56
2017-01-04,15.35770034790039,2.6954,2335.67
2017-01-05,15.514399528503418,2.6722,2359.67
2017-01-06,15.454700469970703,2.6839,2350.53
2017-01-09,15.510199546813965,2.6665,2361.92
2017-01-10,15.648300170898438,2.6438,2390.89
2017-01-11,15.742799758911133,2.6272,2407.73
2017-01-12,15.728699684143066,2.6297,2403.03
2017-01-13,15.737500190734863,2.6262,2406.22
2017-01-16,15.597999572753906,2.6496,2384.51
2017-01-17,15.733699798583984,2.6234,2407.88
2017-01-18,15.9483003616333,2.5908,2441.49
2017-01-19,15.93280029296875,2.5957,2439.41
2017-01-20,15.89579963684082,2.5995,2433.05
2017-01-23,16.000200271606445,2.5864,2445.38
2017-01-24,16.12350082397461,2.572,2461.71
2017-01-25,16.17169952392578,2.5607,2469.04
2017-01-26,16.30069923400879,2.5422,2488.28
2017-02-03,16.239900588989258,2.5435,2485.14
2017-02-06,16.375900268554688,2.518,2509.75
2017-02-07,16.437299728393555,2.5084,2518.1
2017-02-08,16.670499801635742,2.4726,2551.08
2017-02-09,16.79129981994629,2.4576,2570.67
2017-02-10,16.82110023498535,2.4586,2572.94
2017-02-13,17.05739974975586,2.4296,2608.65
2017-02-14,17.025800704956055,2.429,2606.46
2017-02-15,17.008800506591797,2.431,2603.28
2017-02-16,17.045499801635742,2.4262,2609.32
2017-02-17,16.903200149536133,2.4464,2584.08
2017-02-20,17.017900466918945,2.4314,2607.12
2017-02-21,16.925500869750977,2.4446,2598.47
2017-02-22,17.24489974975586,2.4022,2643.24
2017-02-23,17.023300170898438,2.4065,2637.78
2017-02-24,16.72209930419922,2.439,2603.29
2017-02-27,16.679399490356445,2.4436,2595.75
2017-02-28,16.550100326538086,2.4463,2591.59
2017-03-01,16.635900497436523,2.4372,2606.11
2017-03-02,16.659099578857422,2.4299,2610.04
2017-03-03,16.562599182128906,2.4421,2596.52
2017-03-06,16.639299392700195,2.4301,2610.33
2017-03-07,16.711000442504883,2.419,2619.71
2017-03-08,16.87700080871582,2.3927,2646.5
2017-03-09,16.627599716186523,2.4263,2609.47
2017-03-10,16.596900939941406,2.4204,2611.87
2017-03-13,16.913000106811523,2.3711,2665.3
2017-03-14,16.944000244140625,2.3708,2667.3
2017-03-15,16.719999313354492,2.3657,2671.98
2017-03-16,16.96780014038086,2.3365,2710.54
2017-03-17,16.950700759887695,2.3437,2700.81
2017-03-20,19.10689926147461,2.1467,2695.34
2017-03-21,19.086599349975582,2.1364,2703.7
2017-03-22,18.62730026245117,2.1524,2681.81
2017-03-23,18.65970039367676,2.1404,2689.25
2017-03-24,18.49020004272461,2.159,2681.85
