,PE_TTM,DIVIDENDYIELD2,CLOSE
2000-01-04,27.82620048522949,1.1638,1918.1
2000-01-05,27.891300201416016,1.1623,1921.91
2000-01-06,27.946399688720703,1.1612,1924.01
2000-01-07,28.706100463867188,1.1305,1976.14
2000-01-10,29.035200119018555,1.1188,1998.28
2000-01-11,28.69029998779297,1.1336,1972.21
2000-01-12,28.585899353027344,1.1392,1963.65
2000-01-13,28.910600662231445,1.1255,1987.54
2000-01-14,29.23349952697754,1.1137,2008.75
2000-01-18,29.0492000579834,1.1214,1995.04
2000-01-19,29.0408992767334,1.1213,1996.15
2000-01-20,28.84480094909668,1.1288,1981.99
2000-01-21,28.754199981689453,1.1321,1976.22
2000-01-24,27.959999084472656,1.1644,1921.62
2000-01-25,28.13500022888184,1.1573,1933.27
2000-01-26,28.01259994506836,1.1624,1925.17
2000-01-27,27.89690017700196,1.1672,1917.68
2000-01-28,27.1210994720459,1.201,1865.14
2000-02-14,27.75620079040528,1.1768,1906.86
2000-02-15,28.013500213623047,1.1666,1923.49
2000-02-16,27.738500595092773,1.18,1904.01
2000-02-17,27.742300033569336,1.1795,1904.83
2000-02-18,26.901100158691406,1.2164,1846.97
2000-02-22,27.03260040283203,1.211,1855.34
2000-02-23,27.17020034790039,1.2037,1867.14
2000-02-24,27.073299407958984,1.2073,1857.21
2000-02-25,26.674999237060547,1.2259,1829.77
2000-02-28,26.964799880981445,1.213,1850.09
2000-02-29,27.27890014648437,1.1963,1875.31
2000-03-01,27.546300888061523,1.1866,1893.12
2000-03-02,27.593900680541992,1.1841,1896.67
2000-03-03,28.14119911193848,1.1608,1934.3
2000-03-06,27.784500122070312,1.1774,1909.9
2000-03-07,27.06789970397949,1.2088,1860.98
2000-03-08,27.30039978027344,1.1994,1876.34
2000-03-09,27.97760009765625,1.1696,1924.4
2000-03-10,27.85659980773925,1.1752,1915.32
2000-03-13,27.61840057373047,1.1853,1899.76
2000-03-14,27.12360000610352,1.2066,1866.17
2000-03-15,27.79910087585449,1.1786,1911.54
2000-03-16,29.136999130249023,1.1292,2002.79
2000-03-17,29.23940086364746,1.1246,2011.03
2000-03-20,29.13120079040528,1.1275,2000.29
2000-03-21,29.881799697875977,1.0994,2051.43
2000-03-22,30.002500534057617,1.0948,2060.74
2000-03-23,30.560300827026367,1.0755,2097.43
2000-03-24,30.55550003051757,1.0754,2097.58
2000-03-27,30.42289924621582,1.078,2092.63
2000-03-28,30.10969924926757,1.0893,2070.5
2000-03-29,30.150999069213867,1.0896,2071.78
2000-03-30,29.74959945678711,1.1046,2043.51
2000-03-31,28.88920021057129,1.0967,2058.15
2000-04-03,29.093299865722656,1.0817,2068.31
2000-04-04,28.879600524902344,1.0905,2052.92
2000-04-05,28.731300354003903,1.0966,2042.91
2000-04-06,28.99090003967285,1.0863,2062.35
2000-04-07,29.27280044555664,1.0755,2082.97
2000-04-10,29.039100646972656,1.084,2066.64
2000-04-11,28.97719955444336,1.0869,2061.39
2000-04-12,28.340700149536133,1.1129,2015.58
2000-04-13,27.839000701904297,1.1335,1978.96
2000-04-14,26.21339988708496,1.2037,1863.63
2000-04-17,27.082399368286133,1.1651,1925.28
2000-04-18,27.943300247192383,1.1264,1980.53
2000-04-19,27.65329933166504,1.1379,1961.14
2000-04-20,27.80179977416992,1.1324,1970.87
2000-04-24,27.72949981689453,1.1362,1964.45
2000-04-25,28.642099380493164,1.0996,2029.82
2000-04-26,28.32159996032715,1.1125,2007.33
2000-04-27,28.396499633789062,1.1103,2012.88
2000-04-28,28.14349937438965,1.1203,1995.79
2000-05-08,27.457799911499023,1.1391,1957.3
2000-05-09,27.21629905700684,1.1496,1940.84
2000-05-10,26.690900802612305,1.1701,1901.19
2000-05-11,27.180400848388672,1.1506,1935.48
2000-05-12,27.42140007019043,1.14,1953.59
2000-05-15,28.018699645996094,1.1154,1996.8
2000-05-16,28.282400131225582,1.105,2015.62
2000-05-17,27.9281005859375,1.1194,1990.67
2000-05-18,27.73110008239746,1.1275,1976.18
2000-05-19,27.152099609375,1.1522,1934.62
2000-05-22,27.035999298095703,1.1573,1926.06
2000-05-23,26.55610084533692,1.1792,1889.14
2000-05-24,27.0492000579834,1.1583,1923.84
2000-05-25,26.71179962158203,1.1729,1899.77
2000-05-26,26.64240074157715,1.1763,1895.06
2000-05-30,27.486299514770508,1.1395,1956.29
2000-05-31,27.32360076904297,1.1425,1954.01
2000-06-01,27.86599922180176,1.1195,1992.84
2000-06-02,28.39640045166016,1.098,2031.97
2000-06-05,28.20009994506836,1.1047,2018.74
2000-06-06,28.01099967956543,1.1121,2005.29
2000-06-07,28.26700019836425,1.1023,2024.05
2000-06-08,28.097999572753903,1.1092,2010.75
2000-06-09,27.994400024414062,1.1128,2004.26
2000-06-12,27.804800033569336,1.1214,1989.22
2000-06-13,28.28569984436035,1.1035,2021.63
2000-06-14,28.299699783325195,1.1031,2023.21
2000-06-15,28.44580078125,1.097,2034.48
2000-06-16,28.023099899291992,1.1118,2015.0
2000-06-19,28.701400756835938,1.0847,2044.66
2000-06-20,28.4822998046875,1.0921,2030.84
2000-06-21,28.554800033569336,1.0892,2035.22
2000-06-22,28.027000427246094,1.1092,1998.19
2000-06-23,27.840999603271484,1.1175,1983.46
2000-06-26,28.105499267578125,1.1067,2002.49
2000-06-27,28.01099967956543,1.1103,1995.94
2000-06-28,28.111099243164062,1.1081,2002.02
2000-06-29,27.83329963684082,1.1166,1984.94
2000-06-30,27.409900665283203,1.1082,2001.77
2000-07-03,27.540599822998047,1.0912,2022.38
2000-07-05,27.088699340820312,1.1117,1990.57
2000-07-06,27.39999961853028,1.0903,2005.12
2000-07-07,27.82349967956543,1.074,2035.72
2000-07-10,27.762800216674805,1.0764,2031.2
2000-07-11,27.873899459838867,1.0726,2038.49
2000-07-12,28.09000015258789,1.0646,2055.15
2000-07-13,28.11149978637696,1.0625,2059.19
2000-07-14,28.36039924621582,1.0526,2078.66
2000-07-17,28.35400009155273,1.0524,2079.36
2000-07-18,28.053600311279297,1.0642,2056.31
2000-07-19,27.83130073547364,1.0731,2040.16
2000-07-20,28.08169937133789,1.0634,2058.9
2000-07-21,27.808900833129883,1.0744,2037.73
2000-07-24,27.519500732421875,1.0865,2015.92
2000-07-25,27.711299896240234,1.079,2029.93
2000-07-26,27.34569931030273,1.0954,1999.6
2000-07-27,27.45759963989257,1.0866,1995.86
2000-07-28,26.880800247192383,1.1099,1954.97
2000-07-31,26.987499237060547,1.1014,1970.05
2000-08-01,27.11669921875,1.0951,1980.05
2000-08-02,27.12730026245117,1.0955,1980.98
2000-08-03,27.16510009765625,1.0976,2000.2
2000-08-04,27.35740089416504,1.0882,2014.65
2000-08-07,27.67790031433105,1.0763,2037.25
2000-08-08,27.743900299072266,1.0743,2042.15
2000-08-09,27.56410026550293,1.0817,2028.6
2000-08-10,27.329200744628903,1.0919,2011.41
2000-08-11,27.545799255371094,1.0836,2027.45
2000-08-14,27.91270065307617,1.0694,2054.67
2000-08-15,27.77179908752441,1.0745,2044.85
2000-08-16,27.69619941711425,1.0787,2038.71
2000-08-17,28.001399993896484,1.067,2061.08
2000-08-18,27.91860008239746,1.0706,2055.13
2000-08-21,28.05340003967285,1.0664,2065.83
2000-08-22,28.026899337768555,1.0674,2063.97
2000-08-23,28.17959976196289,1.0621,2074.88
2000-08-24,28.21249961853028,1.0604,2078.11
2000-08-25,28.173599243164062,1.0615,2075.57
2000-08-28,28.3085994720459,1.0561,2086.11
2000-08-29,28.218700408935547,1.0597,2080.36
2000-08-30,28.07069969177246,1.0666,2070.75
2000-08-31,28.296600341796875,1.0555,2091.57
2000-09-01,28.39509963989257,1.0521,2095.85
2000-09-05,28.138999938964844,1.0616,2076.99
2000-09-06,27.86359977722168,1.0724,2056.68
2000-09-07,28.06489944458008,1.0652,2070.86
2000-09-08,27.910200119018555,1.0709,2059.82
2000-09-11,27.807899475097656,1.0748,2052.62
2000-09-12,27.67289924621582,1.08,2042.6
2000-09-13,27.7185001373291,1.0777,2046.81
2000-09-14,27.645999908447266,1.0808,2041.27
2000-09-15,27.36680030822754,1.0919,2020.52
2000-09-18,27.04010009765625,1.104,1991.18
2000-09-19,27.333999633789062,1.0924,2012.4
2000-09-20,27.191999435424805,1.099,2000.63
2000-09-21,27.14459991455078,1.1007,1997.51
2000-09-22,27.15250015258789,1.101,1997.06
2000-09-25,26.9606990814209,1.1084,1983.7
