,PE_TTM,DIVIDENDYIELD2,CLOSE
2014-01-02,18.46949958801269,1.9258,1831.98
2014-01-03,18.46220016479492,1.9158,1831.37
2014-01-06,18.417499542236328,1.9224,1826.77
2014-01-07,18.518299102783203,1.9118,1837.88
2014-01-08,18.51110076904297,1.9407,1837.49
2014-01-09,18.51609992980957,1.9141,1838.13
2014-01-10,18.6112003326416,1.9085,1842.37
2014-01-13,18.374500274658203,1.9353,1819.2
2014-01-14,18.572900772094727,1.915,1838.88
2014-01-15,18.60770034790039,1.9081,1848.38
2014-01-16,18.53770065307617,1.9128,1845.89
2014-01-17,18.49220085144043,1.9128,1838.7
2014-01-20,18.49220085144043,1.9105,1838.7
2014-01-21,18.147899627685547,1.9072,1843.8
2014-01-22,18.108999252319336,1.9183,1844.86
2014-01-23,17.929399490356445,1.933,1828.46
2014-01-24,17.559099197387695,1.9733,1790.29
2014-01-27,17.455799102783203,1.9881,1781.56
2014-01-28,17.421300888061523,1.9759,1792.5
2014-01-29,17.15089988708496,2.0044,1774.2
2014-01-30,17.29829978942871,1.9821,1794.19
2014-02-07,17.27429962158203,2.0147,1797.02
2014-02-10,17.32349967956543,1.9811,1799.84
2014-02-11,17.538799285888672,1.9647,1819.75
2014-02-12,17.524200439453125,2.0095,1819.26
2014-02-13,17.606800079345703,2.0038,1829.83
2014-02-14,17.65959930419922,1.9644,1838.63
2014-02-17,17.659400939941406,1.9475,1838.63
2014-02-18,17.668500900268555,1.9623,1840.76
2014-02-19,17.49090003967285,1.982,1828.75
2014-02-20,17.542499542236328,1.973,1839.78
2014-02-21,17.48349952697754,1.9861,1836.25
2014-02-24,17.63789939880371,1.9374,1847.61
2014-02-25,17.56529998779297,1.9423,1845.12
2014-02-26,17.593299865722656,1.9606,1845.16
2014-02-27,17.673799514770508,1.9534,1854.29
2014-02-28,17.734699249267578,1.9296,1859.45
2014-03-03,17.59830093383789,1.9441,1845.73
2014-03-04,17.867300033569336,1.9169,1873.91
2014-03-05,17.867900848388672,1.9347,1873.81
2014-03-06,17.901100158691406,1.9471,1877.03
2014-03-07,17.907499313354492,1.9351,1878.04
2014-03-10,17.89859962463379,1.9241,1877.17
2014-03-11,17.806699752807617,1.9382,1867.63
2014-03-12,17.813100814819336,1.9567,1868.2
2014-03-13,17.601299285888672,1.988,1846.34
2014-03-14,17.551300048828125,1.968,1841.13
2014-03-17,17.719999313354492,1.9483,1858.83
2014-03-18,17.849000930786133,1.937,1872.25
2014-03-19,17.736799240112305,1.9487,1860.77
2014-03-20,17.840999603271484,1.9372,1872.01
2014-03-21,17.792800903320312,1.9426,1866.52
2014-03-24,17.6875,1.9501,1857.44
2014-03-25,17.745899200439453,1.9515,1865.62
2014-03-26,17.61680030822754,1.9684,1852.56
2014-03-27,17.590999603271484,1.9611,1849.04
2014-03-28,17.668699264526367,1.9529,1857.62
2014-03-31,18.120800018310547,1.9074,1872.34
2014-04-01,18.255199432373047,1.8996,1885.52
2014-04-02,18.456100463867188,1.87,1890.9
2014-04-03,18.052000045776367,1.9093,1888.77
2014-04-04,17.80699920654297,1.9242,1865.09
2014-04-08,17.69809913635254,1.9627,1851.96
2014-04-09,17.902000427246094,1.9236,1872.18
2014-04-10,17.517499923706055,1.9656,1833.08
2014-04-11,17.354700088500977,1.9895,1815.69
2014-04-14,17.49920082092285,1.964,1830.61
2014-04-15,17.599300384521484,1.9513,1842.98
2014-04-16,17.82979965209961,1.9325,1862.31
2014-04-17,17.8843994140625,1.9357,1864.85
2014-04-18,17.88599967956543,1.9355,1864.85
2014-04-21,17.934600830078125,1.9244,1871.89
2014-04-22,17.96540069580078,1.9163,1879.55
2014-04-23,17.88279914855957,1.9316,1875.39
2014-04-24,17.891399383544922,1.9313,1878.61
2014-04-25,17.72760009765625,1.9379,1863.4
2014-04-28,17.767499923706055,1.9321,1869.43
2014-04-29,17.905500411987305,1.9238,1878.33
2014-04-30,17.958799362182617,1.9211,1883.95
2014-05-05,18.06789970397949,1.9126,1884.66
2014-05-06,17.873899459838867,1.9326,1867.72
2014-05-07,17.9197998046875,1.9687,1878.21
2014-05-08,17.908000946044922,1.9895,1875.63
2014-05-09,17.94700050354004,1.9612,1878.48
2014-05-12,18.12730026245117,1.9061,1896.65
2014-05-13,18.13710021972656,1.9304,1897.45
2014-05-14,18.054399490356445,1.9505,1888.53
2014-05-15,17.881500244140625,1.9677,1870.85
2014-05-16,17.947500228881836,1.935,1877.86
2014-05-19,18.02239990234375,1.9281,1885.08
2014-05-20,17.912399291992188,1.9437,1872.83
2014-05-21,18.126399993896484,1.9398,1888.03
2014-05-22,18.159099578857425,1.9457,1892.49
2014-05-23,18.243200302124023,1.9281,1900.53
2014-05-26,18.241899490356445,1.9149,1900.53
2014-05-27,18.357799530029297,1.9041,1911.91
