,PE_TTM,DIVIDENDYIELD2,CLOSE
2004-09-16,18.36260032653809,1.7038,1892.03
2004-09-17,18.444799423217773,1.6962,1899.64
2004-09-20,18.34939956665039,1.7062,1892.53
2004-09-21,18.467500686645508,1.6955,1906.93
2004-09-22,18.209999084472656,1.7197,1882.6
2004-09-23,18.12350082397461,1.7288,1875.47
2004-09-24,18.14590072631836,1.7261,1877.8
2004-09-27,17.986099243164062,1.7364,1863.33
2004-09-28,18.09469985961914,1.7282,1874.69
2004-09-29,18.171499252319336,1.7214,1883.12
2004-09-30,17.836000442504883,1.7217,1894.38
2004-10-08,17.919300079345703,1.7113,1906.55
2004-10-11,17.95560073852539,1.7078,1907.85
2004-10-12,17.91469955444336,1.7117,1901.08
2004-10-13,17.78380012512207,1.7256,1886.02
2004-10-14,17.61870002746582,1.7418,1871.87
2004-10-15,17.69729995727539,1.7338,1881.51
2004-10-18,17.78969955444336,1.7248,1888.45
2004-10-19,17.617599487304688,1.7419,1868.92
2004-10-20,17.625600814819336,1.7419,1872.05
2004-10-21,17.67009925842285,1.7376,1886.75
2004-10-22,17.49920082092285,1.7547,1871.86
2004-10-25,17.48509979248047,1.7562,1873.92
2004-10-26,17.74370002746582,1.7304,1902.25
2004-10-27,17.89579963684082,1.7167,1928.83
2004-10-28,17.925100326538086,1.7184,1931.74
2004-10-29,17.9552001953125,1.7142,1939.79
2004-11-01,17.88610076904297,1.7141,1942.64
2004-11-02,17.885299682617188,1.7141,1940.66
2004-11-03,18.08650016784668,1.6991,1962.82
2004-11-04,18.3794002532959,1.6722,1996.69
2004-11-05,18.452999114990234,1.6659,2008.47
2004-11-08,18.43549919128418,1.6688,2005.94
2004-11-09,18.423599243164062,1.6735,2006.86
2004-11-10,18.40589904785156,1.678,2008.26
2004-11-11,18.57379913330078,1.6629,2028.55
2004-11-12,18.74300003051757,1.6494,2047.41
2004-11-15,18.6825008392334,1.9503,2049.41
2004-11-16,18.549699783325195,1.9651,2035.9
2004-11-17,18.6525993347168,1.9549,2050.56
2004-11-18,18.67919921875,1.9532,2054.59
2004-11-19,18.471599578857425,1.9758,2030.45
2004-11-22,18.57979965209961,1.9645,2046.45
2004-11-23,18.57309913635254,1.9652,2047.56
2004-11-24,18.648500442504883,1.9577,2061.79
2004-11-26,18.65220069885254,1.9584,2066.34
2004-11-29,18.587099075317383,1.9672,2060.29
2004-11-30,18.480300903320312,1.9755,2052.55
2004-12-01,18.7539005279541,1.9498,2081.93
2004-12-02,18.730100631713867,1.9518,2075.73
2004-12-03,18.73080062866211,1.95,2079.5
2004-12-06,18.71629905700684,1.9521,2078.31
2004-12-07,18.50919914245605,1.9739,2052.0
2004-12-08,18.60099983215332,1.9673,2057.78
2004-12-09,18.704099655151367,1.9565,2068.23
2004-12-10,18.68540000915528,1.9585,2069.79
2004-12-13,18.85580062866211,1.9416,2088.04
2004-12-14,18.93079948425293,1.9341,2099.77
2004-12-15,18.964500427246094,1.9322,2108.7
2004-12-16,18.924699783325195,1.9399,2099.13
2004-12-17,18.781299591064453,1.9533,2090.22
2004-12-20,18.807100296020508,1.9548,2088.67
2004-12-21,18.97719955444336,1.9392,2107.71
2004-12-22,19.04170036315918,1.9352,2114.59
2004-12-23,19.05069923400879,1.9343,2115.21
2004-12-27,18.93510055541992,1.9427,2104.87
2004-12-28,19.07159996032715,1.9291,2122.84
2004-12-29,19.063899993896484,1.9312,2126.03
2004-12-30,19.064599990844727,1.9332,2129.34
