,PE_TTM,DIVIDENDYIELD2,CLOSE
2017-01-16,18.581600189208984,2.3636,1530.64
2017-01-17,18.324499130249023,2.3972,1509.1
2017-01-18,18.295799255371094,2.4134,1513.86
2017-01-19,18.46579933166504,2.3905,1528.15
2017-01-20,18.535200119018555,2.3834,1533.46
2017-01-23,18.38089942932129,2.4412,1514.63
2017-01-24,18.28580093383789,2.4554,1506.33
2017-01-25,18.47080039978028,2.4268,1521.58
2017-01-26,18.747800827026367,2.3913,1545.01
2017-02-03,18.702600479125977,2.4457,1514.99
2017-02-06,18.861400604248047,2.4395,1520.42
2017-02-07,18.7726993560791,2.4506,1516.15
2017-02-08,18.870899200439453,2.4361,1524.15
2017-02-09,18.74959945678711,2.4573,1513.55
2017-02-10,19.14310073852539,2.4068,1546.56
2017-02-13,19.25690078735352,2.3926,1554.2
2017-02-14,19.06380081176757,2.4134,1539.12
2017-02-15,19.23270034790039,2.3921,1553.69
2017-02-16,19.19729995727539,2.399,1551.07
2017-02-17,19.13520050048828,2.4066,1544.54
2017-02-20,19.151199340820312,2.4007,1547.01
2017-02-21,19.252099990844727,2.3844,1555.6
2017-02-22,19.265600204467773,2.3815,1557.09
2017-02-23,19.26919937133789,2.38,1556.25
2017-02-24,19.18409919738769,2.4314,1550.14
2017-02-27,19.00230026245117,2.4145,1534.0
2017-02-28,19.00830078125,2.4115,1535.32
2017-03-01,19.22509956359864,2.4128,1553.09
2017-03-02,19.358999252319336,2.3961,1564.69
2017-03-03,19.286800384521484,2.4031,1558.05
2017-03-06,19.25309944152832,2.4092,1554.9
2017-03-07,19.255800247192383,2.4074,1555.04
2017-03-08,19.20059967041016,2.4149,1550.25
2017-03-09,19.265399932861328,2.4038,1554.68
2017-03-10,19.499000549316406,2.3754,1574.01
2017-03-13,19.53870010375977,2.3711,1577.4
2017-03-14,19.511499404907227,2.3756,1574.9
2017-03-15,19.477399826049805,2.378,1571.31
2017-03-16,19.5039005279541,2.3768,1572.69
2017-03-17,19.420499801635746,2.3848,1565.85
2017-03-20,19.42040061950684,2.3848,1565.85
2017-03-21,19.37859916687012,2.3852,1563.42
2017-03-22,19.00379943847656,2.4385,1530.2
2017-03-23,19.01309967041016,2.4358,1530.41
2017-03-24,19.21619987487793,2.4139,1543.92
2017-03-27,18.97800064086914,2.4447,1524.39
2017-03-28,19.21969985961914,2.4146,1544.83
2017-03-29,19.1968002319336,3.2923,1542.07
2017-03-30,18.971399307250977,2.108,1527.59
2017-03-31,18.28350067138672,2.1869,1512.6
2017-04-05,18.26099967956543,2.2199,1504.66
2017-04-06,17.96500015258789,2.2596,1480.18
2017-04-07,18.080699920654297,2.247,1489.77
2017-04-10,18.196399688720703,2.233,1499.65
2017-04-11,18.14419937133789,2.2388,1495.1
2017-04-12,17.956199645996094,2.2622,1479.54
2017-04-13,17.809600830078125,2.2802,1468.31
2017-04-14,17.69529914855957,2.292,1459.07
2017-04-17,17.7814998626709,2.2831,1465.69
2017-04-18,17.853300094604492,2.2752,1471.53
2017-04-19,17.856300354003906,2.2797,1471.42
2017-04-20,17.853500366210938,2.2774,1472.81
2017-04-21,18.04129981994629,2.2744,1488.58
2017-04-24,18.21640014648437,2.2534,1503.19
2017-04-25,18.399200439453125,2.2239,1519.21
2017-04-26,18.61100006103516,2.1959,1537.41
2017-04-27,18.577999114990234,2.1947,1536.67
2017-04-28,18.37030029296875,2.2082,1531.8
2017-05-02,18.580400466918945,2.1999,1550.3
2017-05-03,18.580400466918945,2.1999,1550.3
2017-05-04,18.580400466918945,2.1999,1550.3
2017-05-05,18.580400466918945,2.1999,1550.3
2017-05-08,18.883100509643555,2.1546,1585.86
2017-05-09,18.83320045471192,2.1624,1581.77
2017-05-10,18.894899368286133,2.1586,1585.19
2017-05-11,18.91830062866211,2.1559,1586.86
2017-05-12,18.85379981994629,2.1643,1580.71
2017-05-15,19.020299911499023,2.17,1580.0
2017-05-16,19.07990074157715,2.1629,1584.23
2017-05-17,18.980100631713867,2.1757,1575.82
2017-05-18,18.753999710083008,2.2011,1555.01
2017-05-19,18.79960060119629,2.1941,1559.73
2017-05-22,18.891300201416016,2.1831,1567.65
2017-05-23,18.86639976501465,2.187,1565.22
2017-05-24,18.97640037536621,2.173,1575.11
2017-05-25,19.00979995727539,2.1721,1578.42
2017-05-26,18.93790054321289,2.1835,1569.42
2017-05-31,18.917200088500977,2.2454,1568.37
2017-06-01,19.14109992980957,2.2175,1586.14
2017-06-02,19.424999237060547,2.183,1612.2
2017-06-05,19.41080093383789,2.1884,1609.97
2017-06-06,19.24300003051757,2.207,1596.44
2017-06-07,19.256500244140625,2.2079,1597.09
2017-06-08,19.16119956970215,2.2215,1590.41
2017-06-09,19.163000106811523,2.2243,1591.66
2017-06-12,19.10029983520508,2.2208,1591.55
2017-06-13,19.13050079345703,2.219,1593.51
2017-06-14,19.082500457763672,2.2206,1591.77
2017-06-15,19.04129981994629,2.2256,1588.09
2017-06-16,19.1875,2.2169,1596.04
2017-06-19,19.315200805664062,2.2029,1606.07
2017-06-20,19.407899856567383,2.1858,1617.25
2017-06-21,18.45549964904785,2.1904,1611.56
2017-06-22,18.440900802612305,2.1915,1610.38
2017-06-23,18.28459930419922,2.1896,1611.34
2017-06-26,18.14929962158203,2.1876,1612.21
2017-06-27,18.15880012512207,2.1745,1619.02
2017-06-28,17.86079978942871,2.3587,1614.37
2017-06-29,17.81529998779297,2.1455,1624.07
2017-06-30,17.441499710083008,2.1842,1611.9
2017-07-03,17.300600051879883,2.2184,1614.41
2017-07-04,17.24169921875,2.2247,1609.7
2017-07-05,17.335399627685547,2.2119,1618.63
2017-07-06,17.304500579833984,2.2195,1615.53
2017-07-07,17.4862003326416,2.2304,1607.06
2017-07-10,17.58300018310547,2.2149,1615.48
2017-07-11,17.720600128173828,2.1997,1627.14
2017-07-12,17.642200469970703,2.207,1619.34
2017-07-13,17.651899337768555,2.2074,1619.11
2017-07-14,17.927200317382812,2.1987,1625.48
2017-07-17,17.927200317382812,2.1983,1625.48
2017-07-18,17.863800048828125,2.207,1620.48
2017-07-19,17.885799407958984,2.2067,1621.87
2017-07-20,18.011899948120117,2.1919,1633.01
2017-07-21,17.972400665283203,2.199,1629.99
2017-07-24,17.886600494384766,2.2163,1621.57
2017-07-25,17.84269905090332,2.2285,1617.07
2017-07-26,17.877399444580078,2.2247,1620.88
2017-07-27,17.992599487304688,2.2213,1626.84
2017-07-28,17.93899917602539,2.2667,1621.22
2017-07-31,17.825599670410156,2.2671,1618.61
2017-08-01,17.838699340820312,2.2787,1628.5
2017-08-02,17.901399612426758,2.2714,1634.38
2017-08-03,17.89080047607422,2.2713,1633.82
2017-08-04,17.816600799560547,2.277,1631.45
2017-08-07,17.903900146484375,2.2705,1639.27
2017-08-08,17.860700607299805,2.2771,1635.32
2017-08-09,17.670799255371094,2.303,1617.9
2017-08-10,17.64620018005371,2.3025,1617.25
