,PE_TTM,DIVIDENDYIELD2,CLOSE
2015-01-26,8.189399719238281,4.4937,1255.681
2015-01-27,8.082300186157227,4.5299,1248.1734
2015-01-28,8.059599876403809,4.5314,1246.9444
2015-01-29,7.918499946594238,4.5999,1226.9419
2015-01-30,7.917300224304199,4.5703,1227.1746
2015-02-02,7.835899829864502,4.6112,1214.6872
2015-02-03,7.9303998947143555,4.579,1222.8944
2015-02-04,7.93559980392456,4.556,1228.91
2015-02-05,8.00100040435791,4.5321,1233.9683
2015-02-06,7.960999965667725,4.5402,1233.6087
2015-02-09,7.920599937438965,4.5574,1229.0176
2015-02-10,7.932600021362305,4.56,1227.3575
2015-02-11,7.886300086975098,4.5965,1215.6343
2015-02-12,7.955299854278564,4.5681,1223.1761
2015-02-13,8.046199798583984,4.5168,1238.2601
2015-02-16,8.046799659729004,4.5099,1240.1527
2015-02-17,8.088399887084961,4.4906,1244.845
2015-02-25,8.171199798583984,4.4984,1241.6274
2015-02-26,8.12660026550293,4.4674,1249.2494
2015-02-27,8.105500221252441,4.4754,1247.7175
2015-03-02,8.137499809265137,4.4747,1254.2749
2015-03-03,8.004400253295898,4.5192,1243.9566
2015-03-04,7.956299781799316,4.5618,1233.8129
2015-03-05,7.848999977111816,5.0182,1216.0933
2015-03-06,7.861599922180176,5.0127,1218.7792
2015-03-09,7.900800228118896,5.0439,1218.0496
2015-03-10,7.801300048828125,5.0878,1207.6859
2015-03-11,7.751399993896484,5.217,1196.5262
2015-03-12,7.845399856567383,5.1743,1203.9388
2015-03-13,7.922599792480469,4.648,1206.4107
2015-03-16,7.969799995422363,4.7354,1209.2317
2015-03-17,7.9847002029418945,4.7275,1211.0487
2015-03-18,8.078300476074219,4.6823,1223.3449
2015-03-19,8.14229965209961,4.6299,1239.0209
2015-03-20,8.16409969329834,4.6244,1240.3404
2015-03-23,8.177200317382812,4.6015,1249.4767
2015-03-24,8.060999870300293,4.6368,1241.5394
2015-03-25,8.031900405883789,4.6245,1244.4283
2015-03-26,7.994500160217285,4.6308,1241.3367
2015-03-27,7.912300109863281,4.6352,1239.7029
2015-03-30,8.083000183105469,4.5632,1259.6748
2015-03-31,8.088600158691406,4.5659,1257.8531
2015-04-01,8.183199882507324,4.5282,1267.9671
2015-04-02,8.240699768066406,4.5016,1274.9796
2015-04-03,8.240699768066406,4.5016,1274.9796
2015-04-07,8.240699768066406,4.5016,1274.9796
2015-04-08,8.61989974975586,4.3308,1326.5217
2015-04-09,8.827099800109863,4.2384,1355.483
2015-04-10,8.981900215148926,4.1456,1376.7519
2015-04-13,9.437100410461426,3.9668,1434.4802
2015-04-14,9.262299537658691,4.0233,1415.4299
2015-04-15,9.431699752807615,3.9955,1429.776
2015-04-16,9.52589988708496,3.9802,1436.21
2015-04-17,9.397100448608398,4.0191,1425.4555
2015-04-20,9.16219997406006,4.1071,1395.1429
2015-04-21,9.459400177001951,3.998,1430.2237
2015-04-22,9.499199867248535,3.9911,1432.9014
2015-04-23,9.38860034942627,3.9874,1426.7373
2015-04-24,9.428400039672852,3.9542,1442.4288
2015-04-27,9.536800384521484,3.9062,1463.9326
2015-04-28,9.534000396728516,3.8852,1469.909
2015-04-29,9.39490032196045,3.8962,1467.5335
2015-04-30,9.292799949645996,3.9281,1453.7804
2015-05-04,9.265999794006348,3.9661,1444.642
2015-05-05,9.036499977111816,4.0529,1417.1622
2015-05-06,9.017999649047852,3.7218,1415.4855
2015-05-07,8.92590045928955,3.7549,1405.229
2015-05-08,9.09980010986328,3.6897,1430.5189
2015-05-11,9.153300285339355,3.6821,1433.9404
2015-05-12,9.043499946594238,3.7669,1418.1611
2015-05-13,8.979599952697754,3.7815,1410.2826
2015-05-14,8.949199676513672,3.7426,1406.2431
2015-05-15,9.125200271606444,3.6569,1435.1914
2015-05-18,9.06879997253418,3.6793,1426.7235
2015-05-19,9.20709991455078,3.6631,1439.0714
2015-05-20,9.241999626159668,3.7895,1440.5573
2015-05-21,9.205599784851074,3.942,1436.6626
2015-05-22,9.398300170898438,3.6244,1464.5339
2015-05-25,9.398300170898438,3.5713,1464.5339
2015-05-26,9.588600158691406,3.5325,1487.5611
2015-05-27,9.525500297546388,3.572,1476.8949
2015-05-28,9.237299919128418,3.6659,1439.604
2015-05-29,9.233099937438965,3.6469,1442.0044
2015-06-01,9.335200309753418,3.6163,1451.9358
2015-06-02,9.271599769592283,3.65,1440.42
2015-06-03,9.306400299072266,3.8024,1432.7148
2015-06-04,9.364500045776367,3.7237,1435.9229
2015-06-05,9.23989963531494,3.767,1419.44
2015-06-08,9.377300262451172,3.7239,1431.9565
2015-06-09,9.230199813842772,3.7755,1412.5342
2015-06-10,9.098400115966797,3.8152,1399.6582
2015-06-11,9.187299728393556,3.7834,1412.4864
2015-06-12,9.333100318908691,3.7318,1431.2189
2015-06-15,9.159799575805664,3.303,1404.5387
2015-06-16,8.979299545288086,3.3544,1383.3463
2015-06-17,9.070799827575684,3.317,1393.828
2015-06-18,9.005999565124512,3.3964,1390.4321
2015-06-19,8.982099533081055,3.3929,1391.1336
2015-06-23,9.258399963378906,4.1101,1423.7297
2015-06-24,9.27869987487793,4.1505,1424.2556
2015-06-25,9.193900108337402,4.4322,1410.159
2015-06-26,8.976300239562988,4.4345,1381.2761
2015-06-29,8.670999526977539,4.8993,1338.3907
2015-06-30,8.851300239562988,4.8196,1358.124
2015-07-01,8.851300239562988,4.8196,1358.124
2015-07-02,8.757499694824219,4.9695,1349.7205
2015-07-03,8.64009952545166,3.958,1333.9269
2015-07-06,8.366000175476074,3.9084,1288.258
2015-07-07,8.140800476074219,3.9758,1266.5462
2015-07-08,7.6296000480651855,4.2208,1192.2253
2015-07-09,7.864099979400635,4.0673,1236.8277
2015-07-10,8.119000434875488,3.9668,1266.3232
2015-07-13,8.241299629211426,3.9129,1284.3008
2015-07-14,8.15369987487793,3.9535,1271.5302
2015-07-15,8.07390022277832,3.9706,1265.9206
2015-07-16,8.107000350952148,3.9495,1273.8517
2015-07-17,8.199299812316895,3.9066,1287.1542
2015-07-20,8.162699699401855,3.9147,1284.5594
2015-07-21,8.20580005645752,3.8971,1289.7171
2015-07-22,8.115099906921387,3.9381,1275.5735
2015-07-23,8.173299789428711,3.9154,1282.9061
2015-07-24,8.056400299072266,3.9624,1265.7632
2015-07-27,7.795899868011475,4.1453,1227.3568
2015-07-28,7.774499893188477,4.1369,1232.2128
2015-07-29,7.829699993133545,4.1064,1241.3157
2015-07-30,7.757299900054932,4.1341,1233.6665
2015-07-31,7.769400119781494,4.1207,1236.8842
2015-08-03,7.677599906921387,4.1433,1230.6815
2015-08-04,7.696800231933594,4.1394,1230.1269
2015-08-05,7.751500129699707,4.1225,1237.0309
2015-08-06,7.730899810791016,4.1351,1233.2058
2015-08-07,7.816699981689453,4.0953,1243.4534
2015-08-10,7.811800003051758,4.1102,1238.5963
2015-08-11,7.797900199890137,4.1509,1235.6334
2015-08-12,7.609000205993652,4.2582,1205.0079
2015-08-13,7.608699798583984,4.465,1204.8413
2015-08-14,7.611299991607666,4.3937,1203.7717
2015-08-17,7.530600070953369,4.4792,1191.2687
2015-08-18,7.402200222015381,4.5492,1172.9844
2015-08-19,7.315199851989746,4.5689,1157.3871
2015-08-20,7.145500183105469,4.6241,1136.6019
2015-08-21,7.003300189971924,4.5093,1115.2158
2015-08-24,6.581900119781494,4.7675,1053.7093
2015-08-25,6.294400215148926,4.7974,1059.774
2015-08-26,6.184199810028076,4.8715,1042.5962
2015-08-27,6.383299827575684,4.7062,1077.2571
2015-08-28,6.187399864196777,4.7761,1065.6195
2015-08-31,6.189700126647949,4.7658,1065.8864
2015-09-01,6.031000137329102,4.8765,1042.7568
2015-09-02,5.930300235748291,4.937,1026.9351
2015-09-07,5.813399791717529,5.0612,1007.1302
2015-09-08,6.047399997711182,4.8801,1043.9059
2015-09-09,6.332699775695801,4.6813,1091.1217
2015-09-10,6.187399864196777,4.7957,1065.7562
2015-09-11,6.188199996948242,4.7887,1062.881
2015-09-14,6.202899932861328,4.6872,1066.6213
