,PE_TTM,DIVIDENDYIELD2,CLOSE
2022-03-11,8.492199897766113,3.736,3069.0415
2022-03-14,8.065199851989746,3.8639,2897.0914
2022-03-15,7.602399826049805,4.1213,2729.6101
2022-03-16,8.23490047454834,3.782,2996.4011
2022-03-17,8.76550006866455,3.5474,3182.5891
2022-03-18,8.777700424194336,3.538,3180.1728
2022-03-21,8.6875,3.5901,3145.4703
2022-03-22,8.914600372314453,3.5049,3224.8952
2022-03-23,8.876700401306152,3.4821,3243.0426
2022-03-24,8.847200393676758,3.5106,3217.2235
2022-03-25,8.638299942016602,3.5938,3138.9133
2022-03-28,8.668399810791016,3.563,3171.4895
2022-03-29,8.717700004577637,3.5254,3205.3389
2022-03-30,8.909000396728516,3.4768,3259.6028
2022-03-31,8.832500457763672,3.5113,3216.0411
2022-04-01,8.899700164794922,3.489,3234.1815
2022-04-06,9.002099990844727,3.4734,3268.3763
2022-04-07,8.846400260925293,3.5322,3211.4135
2022-04-08,8.897500038146973,3.5062,3223.4874
2022-04-11,8.622599601745605,3.6182,3116.5359
2022-04-12,8.68809986114502,3.5949,3149.1774
2022-04-13,8.732500076293945,3.5731,3160.9834
2022-04-14,8.82509994506836,3.5243,3191.1505
2022-04-15,8.827799797058105,3.5243,3191.1505
2022-04-18,8.828200340270996,3.5223,3191.1505
2022-04-19,8.662099838256836,3.5971,3125.1739
2022-04-20,8.603500366210938,3.6212,3119.7209
2022-04-21,8.496000289916992,3.6803,3074.08
2022-04-22,8.564599990844727,3.6825,3095.2697
2022-04-25,8.298700332641602,3.7576,2986.0854
2022-04-26,8.401599884033203,3.7668,3026.4906
2022-04-27,8.46679973602295,3.7498,3039.6941
2022-04-28,8.639100074768066,3.6945,3089.616
2022-04-29,8.870400428771973,3.5896,3228.5631
2022-05-05,8.685799598693848,3.489,3154.4721
2022-05-06,8.471199989318848,3.6211,3066.2331
2022-05-09,8.471099853515625,3.6211,3066.2331
2022-05-10,8.441699981689453,3.6767,3052.9829
2022-05-11,8.546099662780762,3.6314,3100.7197
2022-05-12,8.395299911499023,3.6826,3040.7894
2022-05-13,8.667499542236328,3.597,3150.3084
2022-05-16,8.675100326538086,3.5885,3150.6593
2022-05-17,8.891200065612793,3.5131,3244.0586
