Ticker,Name
WISAUNT.FI,富时沙特阿拉伯(里亚尔)(净总回报)
TPX.GI,日本东证指数
SPXEWTR.SPI,标普500等权
SPX.GI,标普500南方
SPTR500N.SPI,标普500
SPTAUUSDOZ.IDC,伦敦金现
SPSIOPTR.SPI,标普石油天然气上游股票
SPSIBI.SPI,标普生物技术精选行业
SPNCSCHN.SPI,标普中国新经济行业
SPHCMSHP.SPI,标普香港中小盘
SPCLLHCP.SPI,标普中国A50红利低波
SPAHLVCP.SPI,标普港股通低波红利指数
SP6CSSUP.SPI,标普500消费精选
SOX.GI,费城半导体
S5INFT.SPI,标普500信息科技
RUI.GI,罗素1000
NDXTMC.GI,纳指科技
NDX.GI,纳斯达克
NBI.GI,纳斯达克生物技术
N225.GI,日经225
IMCI.SHF,上海有色金属
HXC.GI,纳斯达克中国金龙
HSTECH.HI,恒生科技基金
HSSCNE.HI,恒生新经济
HSI.HI,恒生
HSCSOE.HI,恒生中国央企指数
HSCGSI.HI,恒生消费
HSCEI.HI,恒生中国企业
HSBBAC.HI,恒生大湾区
h30106.CSI,港股金融
h11146.CSI,港股通内地金融
GPCSP006.FI,富时亚太低碳精选指数
GDAXI.GI,德国
FCHI.GI,法国CAC40
EMASIAUP.GI,新交所新兴亚洲精选50
DWRTF.GI,美国房地产价格
DJSOEP.GI,道琼斯美国石油
DJI.GI,道琼斯
CSPSADRP.CI,标普A股红利
CL.NYM,NEMEX.WTI原油
CIS5001.WI,印度ETP
CES100.CSI,中华港股通精选100
B.IPE,ICE布油
ASIATECP.GI,新交所泛东南亚科技指数
990001.CSI,中华半导体
987008.CNI,港股通科技30
931790.CSI,中韩半导体
931787CNY00.CSI,港股创新药
931454.CSI,港股消费易方达
931024.CSI,港股非银
930709.CSI,香港证券
930604.CSI,中概互联
884215.WI,比特币
830009.XI,富时中国A50
750108.MI,美国50
122489.MI,MSCI金龙
SPBSS5IP.BO,标普BSE印度指数
